奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加里-佩顿二世,G,25,0-2,0-1,0-0,0,7,"
7","
3",1,1,1,1,"
0","
-11"
以赛亚-托马斯,G,23,6-13,2-6,3-4,0,1,"
1","
3",3,0,1,0,"
17","
+1"
乔丹-麦克雷,F,38,8-24,2-5,1-3,1,6,"
7","
1",1,2,1,3,"
19","
+9"
伊萨克-邦加,F,32,5-8,0-1,0-0,2,5,"
7","
1",2,1,1,0,"
10","
+5"
伊安-马辛米,C,24,1-3,0-0,2-4,2,6,"
8","
4",3,1,1,4,"
4","
+1"
特洛伊-布朗,F-G,36,5-12,2-4,3-4,2,7,"
9","
0",3,1,3,0,"
15","
+4"
伊斯梅尔-史密斯,G,31,12-18,1-3,2-4,0,4,"
4","
4",2,0,3,0,"
27","
+9"
安热伊斯-帕塞奇尼克斯,C,23,2-3,0-0,3-4,0,4,"
4","
0",5,1,3,1,"
7","
+11"
加里森-马修斯,G,4,0-1,0-1,0-0,0,0,"
0","
2",0,1,0,0,"
0","
+2"
阿德米拉尔-斯科菲尔德,F-G,4,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-6"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戴维斯-贝尔坦斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马斯-布莱恩特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-迈尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布拉德利-比尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,34,3-14,3-10,4-5,1,1,"
2","
3",3,3,1,2,"
13","
0
"
杰伦-布朗,G,33,7-22,2-10,7-7,4,8,"
12","
1",2,0,4,0,"
23","
-4
"
戈登-海沃德,F,38,4-11,1-5,1-2,2,8,"
10","
4",3,0,2,1,"
10","
-2
"
杰森-塔特姆,F,31,8-20,1-4,0-0,0,1,"
1","
2",2,0,0,2,"
17","
-6
"
丹尼尔-泰斯,C,22,2-6,0-0,4-5,4,3,"
7","
2",1,2,1,1,"
8","
+1
"
格兰特-威廉姆斯,F,25,3-3,1-1,2-5,2,4,"
6","
0",6,1,2,1,"
9","
+1"
埃内斯-坎特,C,19,2-3,0-0,0-0,3,8,"
11","
2",1,0,3,1,"
4","
-5"
布拉德-沃纳梅克,G,15,0-6,0-2,0-0,0,3,"
3","
1",1,0,1,0,"
0","
-5"
特里蒙特-沃特斯,G,8,3-6,0-3,2-2,0,0,"
0","
1",1,1,1,0,"
8","
+1"
卡森-爱德华兹,G,6,0-2,0-1,0-0,0,2,"
2","
1",0,0,0,0,"
0","
-4"
哈维特-格林,G-F,5,1-1,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
2","
-2"
谢米-奥杰莱,F,4,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯巴-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
