独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,34,14-24,5-10,5-9,1,10,"
11","
10",2,0,3,1,"
38","
+8"
何塞-巴里亚,G,15,1-2,0-0,0-0,0,1,"
1","
1",0,1,5,0,"
2","
+4"
多里安-芬尼-史密斯,F,37,4-12,3-7,0-0,2,3,"
5","
2",2,1,1,0,"
11","
+5"
小蒂姆-哈达威,F,22,5-8,3-4,2-2,1,3,"
4","
2",1,1,0,0,"
15","
+8"
德怀特-鲍威尔,C,30,6-6,0-0,4-4,3,4,"
7","
1",3,0,1,0,"
16","
+2"
马克西-克勒贝尔,F,27,3-6,1-4,0-0,0,2,"
2","
1",2,1,1,1,"
7","
+15"
德朗-赖特,G,25,3-3,2-2,1-2,2,4,"
6","
3",0,0,1,2,"
9","
-4"
塞思-库里,G,21,2-8,0-6,0-0,1,1,"
2","
3",2,0,2,1,"
4","
+8"
贾斯廷-杰克逊,F,15,4-11,1-6,2-2,0,2,"
2","
0",0,0,0,0,"
11","
-4"
杰伦-布伦森,G,14,2-4,1-2,0-0,1,2,"
3","
2",0,1,0,1,"
5","
-2"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,39,10-23,0-5,0-0,1,4,"
5","
7",3,3,2,2,"
20","
-11
"
托马什-萨托兰斯基,G,35,3-12,1-5,4-4,3,2,"
5","
14",4,1,1,0,"
11","
-6
"
劳里-马尔卡宁,F,36,10-18,4-10,2-2,2,7,"
9","
0",1,1,1,0,"
26","
-4
"
克里斯-邓恩,F,23,3-9,0-3,0-0,1,1,"
2","
2",5,1,0,0,"
6","
+5
"
温德尔-卡特,C,18,2-7,0-0,2-2,3,3,"
6","
0",2,1,2,1,"
6","
-5
"
赛迪斯-杨,F,28,5-10,1-1,0-0,3,6,"
9","
1",1,3,0,1,"
11","
-8"
丹尼尔-加福德,F-C,25,6-6,0-0,1-2,3,5,"
8","
0",1,0,0,2,"
13","
0"
科比-怀特,G,21,6-10,3-5,0-1,0,0,"
0","
1",2,0,2,0,"
15","
-15"
沙奎尔-哈里森,G,10,1-3,0-2,0-0,1,0,"
1","
0",2,0,0,1,"
2","
+2"
钱德勒-哈奇森,F-G,6,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里安-阿尔奇迪亚科诺,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
