马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,26,5-11,3-4,0-0,3,6,"
9","
4",1,1,1,0,"
13","
+3"
布林-福布斯,G,25,2-6,1-4,1-1,0,2,"
2","
2",1,1,2,0,"
6","
+11"
德马尔-德罗赞,F,33,11-15,1-1,2-2,0,3,"
3","
7",2,0,4,0,"
25","
+14"
拉马库斯-阿尔德里奇,F,32,5-10,2-3,5-5,1,3,"
4","
3",4,0,0,1,"
17","
+12"
特雷-莱尔斯,C,20,2-11,2-6,0-0,3,9,"
12","
1",1,1,1,0,"
6","
+4"
鲁迪-盖伊,F-G,25,6-10,2-2,3-4,1,7,"
8","
1",2,0,1,0,"
17","
+13"
帕蒂-米尔斯,G,23,6-10,6-10,3-3,0,0,"
0","
0",0,1,0,0,"
21","
+11"
德里克-怀特,G,20,3-6,1-3,2-2,2,2,"
4","
1",1,0,0,1,"
9","
+14"
朗尼-沃克,G-F,19,3-6,1-2,1-2,0,7,"
7","
2",2,0,1,0,"
8","
+16"
雅各布-珀尔特尔,C,13,1-1,0-0,0-0,0,4,"
4","
1",2,0,1,0,"
2","
+2"
奇梅齐耶-梅图,F-C,2,1-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
+5"
德马雷-卡罗尔,F,2,0-1,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+5"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
韦斯利-马修斯,G,29,4-7,4-6,0-0,0,1,"
1","
2",1,1,0,1,"
12","
-6
"
埃里克-布莱索,G,26,2-7,2-5,2-2,0,1,"
1","
5",3,0,1,1,"
8","
-11
"
扬尼斯-阿德托昆博,F,34,10-22,0-5,4-4,2,10,"
12","
8",2,3,2,1,"
24","
-2
"
克里斯-米德尔顿,F,30,5-16,1-7,4-4,0,5,"
5","
4",1,0,1,0,"
15","
-11
"
布鲁克-洛佩斯,C,22,3-6,2-3,0-0,0,3,"
3","
0",1,0,1,1,"
8","
-12
"
唐特-迪温琴佐,G,27,6-12,2-6,2-3,1,3,"
4","
1",3,1,1,0,"
16","
-13"
乔治-希尔,G,21,6-11,3-4,0-0,3,1,"
4","
4",0,0,1,0,"
15","
-8"
艾森-伊利亚索瓦,F,15,1-2,1-2,0-0,0,0,"
0","
0",2,0,0,0,"
3","
-16"
罗宾-洛佩斯,C,14,1-6,0-2,0-0,4,3,"
7","
0",1,0,0,1,"
2","
-7"
凯尔-科沃尔,G-F,14,0-4,0-3,1-1,0,1,"
1","
0",1,0,0,0,"
1","
-9"
DJ-威尔森,F,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
萨纳西斯-阿德托昆博,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
斯特林-布朗,G-F,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-5"
帕特-康诺顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
