篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
乔-哈里斯,G,38,3-12,1-7,2-2,1,5,"
6","
0",4,2,2,0,"
9","
-8"
斯潘塞-丁威迪,G,36,6-21,0-6,2-3,1,4,"
5","
6",5,0,2,0,"
14","
-7"
托里恩-普林斯,F,37,8-15,5-10,0-0,1,7,"
8","
1",2,1,2,1,"
21","
-10"
罗季翁斯-库鲁茨,F,19,2-4,0-1,0-0,0,2,"
2","
4",4,0,0,0,"
4","
+3"
贾勒特-阿伦,C,33,4-7,0-1,4-4,2,5,"
7","
2",2,0,0,2,"
12","
-9"
加莱特-坦普尔,G-F,28,4-10,3-7,0-0,1,2,"
3","
3",0,1,3,1,"
11","
-9"
卡里斯-勒韦尔,G,22,7-16,2-3,4-7,2,4,"
6","
3",1,0,3,0,"
20","
-3"
德安德烈-乔丹,C,20,4-7,0-0,0-0,3,7,"
10","
0",3,1,2,0,"
8","
+1"
威尔森-钱德勒,F,16,1-3,0-2,0-0,0,4,"
4","
0",3,0,2,1,"
2","
+2"
蒂莫泰-卢瓦乌-卡巴罗,G-F,15,1-3,0-0,0-0,0,1,"
1","
0",1,0,1,0,"
2","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-安德森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,39,8-18,0-3,6-6,2,2,"
4","
2",0,2,4,0,"
22","
+14
"
克里斯-保罗,G,38,9-15,4-8,6-6,0,6,"
6","
3",2,2,3,0,"
28","
+11
"
特伦斯-弗格森,F,40,3-7,1-4,0-0,0,0,"
0","
1",4,0,1,1,"
7","
+10
"
达里厄斯-贝兹利,F,15,3-8,2-5,0-0,0,4,"
4","
0",0,0,0,1,"
8","
-2
"
史蒂文-亚当斯,C,36,3-5,0-0,4-7,4,14,"
18","
3",0,2,2,0,"
10","
+17
"
丹尼斯-施罗德,G,35,5-16,2-6,2-2,0,4,"
4","
5",2,1,3,0,"
14","
+8"
迈克-穆斯卡拉,F-C,17,2-8,0-5,2-2,1,7,"
8","
1",1,1,0,0,"
6","
-9"
阿卜杜勒-纳迪尔,F,16,3-5,1-2,0-0,0,0,"
0","
1",4,2,1,0,"
7","
-1"
德翁特-伯顿,G-F,16,1-6,0-3,1-2,1,2,"
3","
3",1,1,1,1,"
3","
-2"
哈米杜-迪亚洛,G,14,1-4,1-1,3-4,0,4,"
4","
0",1,0,0,0,"
6","
-6"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳伦斯-诺埃尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
