凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰伦-布朗,G,29,5-14,1-6,5-6,1,2,"
3","
0",4,2,3,0,"
16","
-21"
肯巴-沃克,G,18,3-6,0-2,0-0,0,3,"
3","
4",1,0,2,0,"
6","
-10"
杰森-塔特姆,F,31,5-16,0-5,4-4,0,6,"
6","
3",2,1,3,0,"
14","
-19"
戈登-海沃德,F,30,7-14,4-7,0-0,1,2,"
3","
3",0,1,0,1,"
18","
-11"
丹尼尔-泰斯,C,20,5-10,2-4,3-3,3,2,"
5","
1",4,0,0,1,"
15","
-13"
马库斯-斯马特,G,25,3-10,2-7,4-4,0,0,"
0","
5",1,0,3,0,"
12","
-13"
布拉德-沃纳梅克,G,21,2-4,1-1,4-4,0,4,"
4","
3",1,0,1,0,"
9","
-10"
格兰特-威廉姆斯,F,18,0-0,0-0,3-4,0,1,"
1","
3",2,1,2,0,"
3","
+1"
埃内斯-坎特,C,17,1-3,0-1,0-0,1,6,"
7","
1",1,0,1,0,"
2","
-8"
塔科-法尔,C,10,2-3,0-0,0-1,0,3,"
3","
0",1,1,0,0,"
4","
+6"
哈维特-格林,G-F,10,1-3,1-1,2-2,1,1,"
2","
1",2,1,0,0,"
5","
+11"
卡森-爱德华兹,G,5,1-2,1-2,0-0,0,0,"
0","
1",1,0,0,0,"
3","
+6"
谢米-奥杰莱,F,5,2-4,1-2,2-2,1,1,"
2","
1",0,0,0,0,"
7","
+6"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,28,5-9,0-0,0-0,1,6,"
7","
4",2,2,1,0,"
10","
+7
"
布林-福布斯,G,27,5-10,4-9,1-1,0,3,"
3","
6",2,2,0,0,"
15","
+8
"
德马尔-德罗赞,F,34,10-17,0-1,10-10,0,6,"
6","
4",0,1,4,0,"
30","
+18
"
拉马库斯-阿尔德里奇,F,32,5-11,1-5,2-3,0,6,"
6","
4",2,0,1,2,"
13","
+11
"
特雷-莱尔斯,C,17,4-4,1-1,0-0,2,3,"
5","
0",2,1,2,1,"
9","
+9
"
鲁迪-盖伊,F-G,21,2-8,0-4,0-0,1,6,"
7","
0",4,1,4,0,"
4","
+7"
帕蒂-米尔斯,G,21,3-7,1-4,2-2,0,0,"
0","
4",2,1,1,0,"
9","
+7"
德里克-怀特,G,20,5-6,0-0,5-5,0,3,"
3","
1",1,0,0,2,"
15","
+10"
朗尼-沃克,G-F,19,7-11,2-5,3-3,0,3,"
3","
1",4,1,1,0,"
19","
-2"
雅各布-珀尔特尔,C,14,1-3,0-0,0-0,4,4,"
8","
4",4,0,0,1,"
2","
+6"
马科-贝里内利,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
德鲁-尤班克斯,F-C,2,1-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
2","
-2"
德马雷-卡罗尔,F,2,0-0,0-0,1-2,0,1,"
1","
0",1,0,0,0,"
1","
-2"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
