黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,46,9-24,5-14,4-5,0,0,"
0","
3",4,3,1,0,"
27","
+1"
德文特-格雷厄姆,G,42,3-15,3-9,2-2,0,5,"
5","
6",2,1,3,0,"
11","
-15"
PJ-华盛顿,F,40,4-7,0-1,4-5,0,12,"
12","
6",2,0,4,2,"
12","
-1"
迈尔斯-布里奇斯,F,35,10-15,6-9,0-0,2,7,"
9","
1",2,1,1,1,"
26","
-7"
俾斯麦-比永博,C,32,2-4,0-0,2-4,4,3,"
7","
3",4,0,4,2,"
6","
-14"
德维恩-培根,G-F,25,3-4,1-1,0-1,1,3,"
4","
2",2,1,1,0,"
7","
+3"
马利克-蒙克,G,24,3-8,0-2,1-3,1,4,"
5","
7",2,0,2,1,"
7","
+12"
科迪-泽勒,F-C,21,4-9,0-1,6-6,5,3,"
8","
2",3,0,1,0,"
14","
+11"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,43,4-13,2-6,5-8,1,1,"
2","
9",4,2,2,1,"
15","
+14
"
特伦斯-戴维斯,G,37,8-16,4-8,3-3,1,10,"
11","
5",2,1,0,0,"
23","
+20
"
帕特里克-麦考,F,43,6-10,1-3,0-0,2,3,"
5","
11",3,1,2,0,"
13","
+5
"
OG-阿奴诺比,F,36,8-13,3-4,0-0,1,6,"
7","
1",4,1,0,0,"
19","
+13
"
赛尔吉-伊巴卡,C,39,10-19,1-1,2-5,4,7,"
11","
2",2,0,4,2,"
23","
+15
"
朗戴-霍利斯-杰弗森,F,22,2-4,0-1,4-4,2,2,"
4","
3",3,1,1,0,"
8","
-16"
马特-托马斯,G,14,3-9,2-6,0-0,2,0,"
2","
2",1,0,0,0,"
8","
-15"
克里斯-布歇,F-C,14,1-5,1-4,0-0,1,2,"
3","
1",1,0,0,2,"
3","
-13"
奥谢-布里塞特,F-G,10,0-5,0-3,0-0,0,1,"
1","
0",3,0,0,0,"
0","
-9"
斯坦利-约翰逊,F-G,8,0-0,0-0,0-0,0,0,"
0","
0",0,1,1,0,"
0","
-4"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙莫里-庞兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕斯卡尔-西亚卡姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
