76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,39,9-15,0-0,1-4,2,7,"
9","
3",1,1,3,0,"
19","
+4"
约什-理查德森,G,34,9-16,1-5,10-10,0,3,"
3","
7",2,0,2,0,"
29","
+15"
托拜厄斯-哈里斯,F,35,7-17,2-5,0-0,0,7,"
7","
3",1,2,1,0,"
16","
+5"
迈克-斯科特,F,26,3-8,1-3,0-0,2,2,"
4","
1",0,0,0,0,"
7","
+13"
艾尔-霍弗德,C,32,7-11,2-3,1-3,5,3,"
8","
6",2,1,2,2,"
17","
+19"
马蒂斯-赛布尔,F-G,19,0-4,0-2,0-0,3,2,"
5","
2",1,0,1,0,"
0","
+7"
詹姆斯-恩尼斯,F,17,2-5,2-3,0-0,0,2,"
2","
0",1,2,1,1,"
6","
-4"
富尔坎-科尔克马兹,G-F,14,3-6,3-5,0-0,0,3,"
3","
0",1,0,1,0,"
9","
-3"
诺维尔-佩莱,F-C,13,3-3,0-0,0-0,0,4,"
4","
0",2,0,1,2,"
6","
-1"
特雷-伯克,G,12,0-3,0-1,0-0,1,2,"
3","
2",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
劳尔-内托,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢克-米尔顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰伦-布朗,G,34,2-12,2-4,0-0,0,5,"
5","
2",0,1,3,0,"
6","
-10
"
肯巴-沃克,G,33,10-20,5-11,1-1,0,2,"
2","
3",2,1,2,0,"
26","
-20
"
戈登-海沃德,F,36,4-11,0-3,0-0,0,2,"
2","
2",0,0,2,0,"
8","
-19
"
杰森-塔特姆,F,36,4-13,1-5,6-6,0,10,"
10","
4",2,3,4,1,"
15","
-11
"
丹尼尔-泰斯,C,27,4-6,1-3,0-0,4,1,"
5","
2",3,1,0,0,"
9","
-13
"
马库斯-斯马特,G,31,9-14,5-7,1-1,0,1,"
1","
1",4,3,1,0,"
24","
+4"
谢米-奥杰莱,F,21,0-2,0-2,0-0,0,0,"
0","
1",2,0,0,0,"
0","
+8"
埃内斯-坎特,C,17,4-7,0-0,0-0,2,9,"
11","
2",1,0,1,0,"
8","
+11"
格兰特-威廉姆斯,F,7,1-3,0-1,0-0,2,0,"
2","
0",2,0,1,0,"
2","
-5"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布拉德-沃纳梅克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
