活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布鲁斯-布朗,G,38,6-14,1-1,4-6,2,2,"
4","
8",3,4,0,2,"
17","
-7"
斯维亚托斯拉夫-米哈伊柳克,G,29,2-3,1-2,0-0,0,0,"
0","
0",1,0,0,0,"
5","
-5"
托尼-斯内尔,F,36,5-10,1-5,0-0,0,1,"
1","
3",4,0,0,0,"
11","
+2"
塞古-敦布亚,F,20,3-5,2-2,0-0,0,1,"
1","
1",4,0,1,1,"
8","
+8"
安德烈-德拉蒙德,C,49,13-24,0-0,2-5,10,13,"
23","
1",2,1,3,1,"
28","
-6"
德里克-罗斯,G,36,13-24,0-2,1-1,4,3,"
7","
5",3,0,6,0,"
27","
+1"
索恩-梅克,F-C,25,1-5,0-2,1-2,3,5,"
8","
1",4,1,2,4,"
3","
+3"
兰斯顿-加洛韦,G,18,4-8,1-4,0-0,0,0,"
0","
1",2,2,1,0,"
9","
-3"
克里斯蒂安-伍德,F,14,1-5,0-2,2-2,0,2,"
2","
0",2,0,2,1,"
4","
-8"
雷吉-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂姆-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基夫-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,41,8-14,2-4,2-2,0,2,"
2","
7",0,0,3,0,"
20","
-1
"
科林-塞克斯顿,G,40,9-19,1-2,0-0,1,5,"
6","
1",1,2,1,2,"
19","
+4
"
切迪-奥斯曼,F,40,5-9,0-2,1-4,2,2,"
4","
2",2,0,2,0,"
11","
-7
"
凯文-乐福,F,38,6-14,1-5,4-6,0,9,"
9","
3",3,1,3,0,"
17","
0
"
特里斯坦-汤普森,C,45,15-20,0-1,5-6,7,7,"
14","
3",4,1,2,3,"
35","
+10
"
布兰登-奈特,G,24,2-7,1-4,0-0,0,2,"
2","
3",2,0,0,0,"
5","
+6"
马修-戴拉维多瓦,G,15,1-1,0-0,0-0,0,1,"
1","
4",0,1,2,0,"
2","
+5"
阿方索-麦金尼,F,14,1-4,0-2,2-2,0,0,"
0","
0",4,3,1,0,"
4","
+5"
安特-日日奇,C,7,1-3,0-0,0-0,0,1,"
1","
1",2,1,0,0,"
2","
-7"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-亨森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小拉里-南斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
利瓦伊-兰多夫,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
