国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,38,9-21,1-4,0-0,2,7,"
9","
10",4,4,6,2,"
19","
+8"
巴迪-希尔德,G,34,7-16,2-7,0-0,1,4,"
5","
4",2,0,3,0,"
16","
-17"
内马尼亚-别利察,F,40,5-11,2-5,0-0,1,12,"
13","
4",1,0,2,1,"
12","
-12"
哈里森-巴恩斯,F,36,8-13,2-5,1-2,0,1,"
1","
3",1,1,0,0,"
19","
+9"
哈里-贾尔斯,C,15,4-8,0-0,2-2,0,5,"
5","
0",3,0,1,0,"
10","
+3"
特雷沃-阿里扎,F,32,4-8,2-6,1-2,1,8,"
9","
3",4,3,1,0,"
11","
-17"
科里-约瑟夫,G,19,2-7,0-2,3-3,0,0,"
0","
0",3,0,1,0,"
7","
-25"
德维恩-戴德蒙,C,12,2-6,0-3,0-0,1,2,"
3","
0",4,0,1,0,"
4","
-27"
贾斯廷-詹姆斯,G-F,3,0-1,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-7"
韦尼恩-加布里埃尔,F,3,1-1,0-0,1-1,0,0,"
0","
0",0,0,0,0,"
3","
-5"
凯尔-盖伊,G,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
凯莱布-斯瓦尼根,F,3,0-0,0-0,0-0,0,0,"
0","
1",2,0,1,0,"
0","
-5"
约吉-费雷尔,G,3,2-3,1-2,0-0,0,0,"
0","
0",0,0,0,0,"
5","
-5"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波格丹-波格丹诺维奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,31,10-17,1-5,3-3,0,4,"
4","
5",2,1,0,1,"
24","
0
"
韦斯利-马修斯,G,21,1-7,0-6,0-0,0,1,"
1","
2",2,0,1,0,"
2","
-2
"
克里斯-米德尔顿,F,29,9-12,1-2,8-11,0,11,"
11","
4",2,2,2,0,"
27","
+12
"
扬尼斯-阿德托昆博,F,28,4-9,1-2,4-8,1,9,"
10","
5",4,1,3,0,"
13","
-8
"
布鲁克-洛佩斯,C,20,4-10,0-5,0-0,1,0,"
1","
1",0,0,0,1,"
8","
+4
"
帕特-康诺顿,G-F,24,2-7,0-4,0-0,1,3,"
4","
0",0,0,3,1,"
4","
+11"
唐特-迪温琴佐,G,24,7-13,4-6,0-0,1,2,"
3","
1",0,3,0,0,"
18","
+18"
乔治-希尔,G,22,3-5,1-2,2-2,0,3,"
3","
6",0,3,1,0,"
9","
+12"
斯特林-布朗,G-F,18,3-7,2-3,3-3,3,9,"
12","
3",1,1,0,1,"
11","
+21"
罗宾-洛佩斯,C,9,2-3,0-1,2-2,0,1,"
1","
0",1,0,0,0,"
6","
+20"
凯尔-科沃尔,G-F,9,0-2,0-2,1-1,0,1,"
1","
0",0,0,1,0,"
1","
+7"
DJ-威尔森,F,3,0-1,0-1,0-0,0,1,"
1","
2",0,0,0,0,"
0","
+5"
萨纳西斯-阿德托昆博,F,3,2-2,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
4","
+5"
艾森-伊利亚索瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
