雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,35,8-17,1-4,7-7,0,8,"
8","
0",0,1,1,1,"
24","
-12"
克里斯-保罗,G,32,7-13,1-5,1-2,0,5,"
5","
8",3,1,1,0,"
16","
+5"
达尼罗-加里纳利,F,32,8-17,4-9,4-4,1,1,"
2","
3",4,0,1,0,"
24","
-14"
特伦斯-弗格森,F,24,0-2,0-2,0-0,0,1,"
1","
2",2,1,0,1,"
0","
-31"
史蒂文-亚当斯,C,29,6-10,0-0,0-0,2,6,"
8","
1",0,2,1,1,"
12","
-12"
丹尼斯-施罗德,G,34,5-15,1-6,2-2,0,4,"
4","
4",3,1,1,0,"
13","
-6"
哈米杜-迪亚洛,G,14,0-5,0-0,1-2,0,1,"
1","
1",0,0,1,0,"
1","
-4"
阿卜杜勒-纳迪尔,F,14,4-4,0-0,0-0,1,2,"
3","
1",0,0,1,0,"
8","
+4"
迈克-穆斯卡拉,F-C,12,2-5,1-4,0-0,0,3,"
3","
1",0,0,0,1,"
5","
-1"
达里厄斯-贝兹利,F-G,11,1-2,0-0,0-0,1,1,"
2","
1",1,0,0,2,"
2","
-6"
贾斯廷-巴顿,C,2,1-1,1-1,0-0,0,0,"
0","
1",0,0,0,0,"
3","
+1"
德翁特-伯顿,G-F,2,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+1"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳伦斯-诺埃尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉简-隆多,G,33,10-22,1-6,0-0,2,10,"
12","
8",1,1,2,0,"
21","
+14
"
埃弗里-布拉德利,G,25,1-3,1-1,0-0,0,2,"
2","
2",3,0,1,0,"
3","
+3
"
凯尔-库兹马,F,40,15-24,4-6,2-4,2,5,"
7","
0",0,0,1,0,"
36","
+20
"
肯塔维厄斯-考德威尔-波普,F,28,4-6,2-4,1-1,1,2,"
3","
1",2,0,0,0,"
11","
+14
"
贾维尔-麦基,C,22,3-6,0-0,0-0,3,4,"
7","
2",2,1,3,1,"
6","
+4
"
德怀特-霍华德,C,26,4-8,0-0,4-4,3,11,"
14","
3",1,0,2,2,"
12","
+11"
特洛伊-丹尼尔斯,G,21,5-11,2-6,0-0,1,5,"
6","
0",3,0,0,0,"
12","
-2"
奎因-库克,G,18,5-10,2-4,1-1,0,1,"
1","
3",1,1,2,0,"
13","
+8"
亚历克斯-卡鲁索,G,16,4-8,3-4,0-0,0,1,"
1","
2",2,0,1,1,"
11","
+11"
贾里德-杜德利,F,10,0-1,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
0","
-8"
丹尼-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勒布朗-詹姆斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-戴维斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
