太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,38,3-12,1-6,5-6,0,4,"
4","
9",4,1,7,1,"
12","
+14"
里基-卢比奥,G,34,4-11,2-2,0-0,0,4,"
4","
9",1,0,5,0,"
10","
+11"
凯利-乌布雷,F,40,10-19,2-6,3-4,2,13,"
15","
1",4,3,3,2,"
25","
+22"
达里奥-沙里奇,F,23,2-4,1-2,0-0,2,4,"
6","
2",2,0,1,0,"
5","
+17"
阿隆-贝恩斯,C,22,4-7,0-0,0-2,2,5,"
7","
0",1,1,0,1,"
8","
+8"
米卡尔-布里奇斯,F,26,4-6,1-2,1-2,1,1,"
2","
0",0,1,1,0,"
10","
-8"
德安德烈-艾顿,C-F,26,9-15,0-0,0-2,5,4,"
9","
0",3,2,1,1,"
18","
0"
埃利-奥科博,G-F,14,3-4,0-1,2-2,0,2,"
2","
1",2,0,0,0,"
8","
-3"
泰勒-约翰逊,G,10,2-3,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
4","
-6"
卡梅伦-约翰逊,F,7,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-15"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰文-卡特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,36,7-18,4-13,4-5,1,0,"
1","
8",3,3,2,1,"
22","
-6
"
特里-罗齐尔,G,28,1-10,0-5,3-3,0,2,"
2","
2",3,0,1,0,"
5","
-15
"
迈尔斯-布里奇斯,F,33,7-13,0-4,0-0,1,4,"
5","
5",3,2,2,1,"
14","
+8
"
PJ-华盛顿,F,24,1-6,1-2,1-2,0,3,"
3","
2",2,1,1,0,"
4","
-19
"
俾斯麦-比永博,C,18,1-6,0-0,1-2,4,3,"
7","
0",1,1,1,1,"
3","
-16
"
尼古拉斯-巴图姆,G-F,32,1-5,0-3,0-0,0,6,"
6","
1",0,1,2,0,"
2","
-6"
德维恩-培根,G-F,32,10-15,2-5,2-4,0,5,"
5","
2",3,1,3,0,"
24","
+7"
科迪-泽勒,F-C,30,7-11,0-1,1-2,2,6,"
8","
5",4,1,1,0,"
15","
+8"
马利克-蒙克,G,7,1-2,1-2,0-0,0,0,"
0","
0",0,0,1,0,"
3","
-1"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
