尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,40,7-10,1-3,8-10,0,5,"
5","
3",2,2,0,0,"
23","
+2"
埃尔弗里德-佩顿,G,31,5-11,0-2,0-0,0,4,"
4","
5",1,2,0,0,"
10","
+2"
朱利叶斯-兰德尔,F,33,10-21,1-5,5-6,3,5,"
8","
4",3,2,2,0,"
26","
-2"
雷吉-布洛克,F,28,6-16,4-12,0-0,0,1,"
1","
4",5,2,1,0,"
16","
+1"
泰-吉布森,C,31,5-6,0-0,4-4,4,4,"
8","
1",3,1,1,1,"
14","
+13"
凯文-诺克斯,F,20,6-8,2-4,3-4,1,4,"
5","
2",2,0,0,0,"
17","
+4"
博比-波蒂斯,F,17,1-2,0-1,2-2,0,1,"
1","
3",1,0,0,0,"
4","
+1"
卡迪姆-阿伦,G,17,4-7,1-2,1-1,1,1,"
2","
1",0,1,0,1,"
10","
+1"
米切尔-罗宾逊,C-F,15,1-1,0-0,0-0,0,3,"
3","
0",5,0,3,1,"
2","
-6"
丹伊恩-多特森,G,8,1-7,0-2,0-1,1,1,"
2","
1",1,1,0,0,"
2","
-1"
弗朗克-尼利基纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊万-拉布,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,31,9-15,2-7,0-0,0,2,"
2","
1",1,1,0,1,"
20","
-1
"
邓肯-罗宾逊,G,28,3-10,3-10,2-2,0,4,"
4","
4",3,0,1,0,"
11","
+6
"
巴姆-阿德巴约,F,37,5-7,0-0,5-6,2,4,"
6","
5",4,0,5,0,"
15","
-2
"
吉米-巴特勒,F,35,8-15,0-0,9-11,2,8,"
10","
6",1,0,1,1,"
25","
+1
"
迈耶斯-伦纳德,C,24,2-3,2-3,1-2,1,3,"
4","
3",2,0,1,0,"
7","
-4
"
戈兰-德拉季奇,G,24,3-7,0-2,0-0,1,1,"
2","
4",2,0,5,0,"
6","
-2"
泰勒-希罗,G,22,5-12,3-8,2-2,0,4,"
4","
1",3,0,0,0,"
15","
-14"
詹姆斯-约翰逊,F,21,6-7,3-3,4-5,2,2,"
4","
0",6,0,1,1,"
19","
-3"
小德里克-琼斯,F-G,19,1-2,1-2,0-0,0,2,"
2","
0",2,1,0,1,"
3","
+4"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-奥利尼克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
