灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,30,4-12,1-2,2-2,2,5,"
7","
10",0,1,5,0,"
11","
+14"
狄龙-布鲁克斯,G,26,3-11,0-6,1-1,0,2,"
2","
0",5,0,0,0,"
7","
+3"
小贾伦-杰克逊,F,28,8-15,3-6,2-3,2,3,"
5","
2",3,1,1,2,"
21","
+8"
杰-克劳德,F,20,1-7,1-5,2-2,1,5,"
6","
1",1,3,2,0,"
5","
+19"
约纳斯-瓦兰丘纳斯,C,29,13-17,1-2,4-5,9,10,"
19","
1",0,1,3,2,"
31","
+24"
丹东尼-梅尔顿,G,20,4-9,1-4,1-2,0,3,"
3","
5",2,2,2,2,"
10","
+17"
布兰登-克拉克,F-G,19,2-8,0-1,5-6,3,8,"
11","
2",2,1,1,1,"
9","
+7"
泰厄斯-琼斯,G,18,4-6,1-1,2-2,0,1,"
1","
4",1,3,1,0,"
11","
+6"
所罗门-希尔,F,17,2-5,0-3,0-0,0,1,"
1","
2",0,1,0,0,"
4","
0"
格雷森-阿伦,G,16,3-5,3-3,2-2,1,3,"
4","
2",0,1,1,0,"
11","
-5"
凯尔-安德森,F-G,13,1-4,0-2,0-0,0,1,"
1","
3",2,3,0,0,"
2","
+7"
布鲁诺-卡博克洛,F,2,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G-F,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,35,12-24,5-9,5-6,1,6,"
7","
4",1,0,2,0,"
34","
-10
"
亚历克-伯克斯,G,28,4-12,1-2,4-5,1,5,"
6","
0",3,0,3,0,"
13","
-15
"
格伦-罗宾逊三世,F,29,3-7,1-5,1-1,2,5,"
7","
0",2,2,2,0,"
8","
-10
"
德雷蒙德-格林,F,23,1-5,1-2,0-0,2,6,"
8","
4",3,3,4,3,"
3","
-7
"
奥马里-斯佩尔曼,C,27,3-7,3-3,3-6,2,2,"
4","
3",3,1,2,2,"
12","
-13
"
埃里克-帕斯卡尔,F,30,5-12,0-1,0-0,3,2,"
5","
5",1,5,2,0,"
10","
-12"
乔丹-普尔,G,27,4-11,4-9,1-1,0,3,"
3","
2",2,0,1,0,"
13","
-11"
雅各布-埃文斯,G-F,18,3-9,2-3,0-0,1,0,"
1","
3",2,0,2,0,"
8","
-13"
威利-考利-斯坦,C,17,0-5,0-0,1-2,0,3,"
3","
1",1,0,3,0,"
1","
-10"
阿伦-斯马伊拉吉奇,F,7,0-0,0-0,0-0,0,3,"
3","
1",0,0,1,1,"
0","
+1"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米恩-李,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯-鲍曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
