篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,25,2-7,1-4,2-2,1,3,"
4","
8",2,0,4,0,"
7","
+30"
凯里-欧文,G,20,10-11,1-1,0-0,0,4,"
4","
3",1,1,2,0,"
21","
+22"
托里恩-普林斯,F,21,5-8,4-6,0-0,0,5,"
5","
2",1,0,2,0,"
14","
+34"
乔-哈里斯,F,21,5-7,1-2,0-1,0,7,"
7","
0",1,1,1,0,"
11","
+34"
贾勒特-阿伦,C,24,4-5,0-0,2-7,2,10,"
12","
2",4,1,3,1,"
10","
+22"
德安德烈-乔丹,C,24,5-7,0-0,3-5,3,5,"
8","
1",2,0,3,1,"
13","
0"
罗季翁斯-库鲁茨,F,23,1-2,0-0,1-2,1,5,"
6","
5",3,1,1,0,"
3","
-8"
卡里斯-勒韦尔,G,22,4-14,1-5,4-6,0,2,"
2","
1",1,3,4,0,"
13","
-10"
加莱特-坦普尔,G-F,21,3-6,1-3,1-2,0,4,"
4","
2",0,0,2,0,"
8","
+3"
威尔森-钱德勒,F,19,1-6,1-4,0-0,0,5,"
5","
0",3,0,0,0,"
3","
-11"
蒂莫泰-卢瓦乌-卡巴罗,G-F,8,0-0,0-0,0-0,0,2,"
2","
1",1,1,1,0,"
0","
-1"
扎南-穆萨,G-F,7,1-2,0-1,2-2,0,2,"
2","
0",0,0,1,0,"
4","
-3"
贾斯廷-安德森,G-F,4,0-2,0-0,1-2,0,1,"
1","
0",1,0,0,0,"
1","
-2"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布兰登-古德温,G,27,3-12,1-8,1-1,1,3,"
4","
3",4,2,4,0,"
8","
-21
"
凯文-赫尔特,G,26,3-11,2-5,0-0,0,5,"
5","
5",2,0,0,0,"
8","
-23
"
卡姆-雷迪什,F,29,6-16,4-8,4-4,0,0,"
0","
2",0,5,3,0,"
20","
-26
"
德安德烈-亨特,F,17,1-5,0-4,0-0,0,1,"
1","
1",3,0,1,0,"
2","
-20
"
约翰-科林斯,C,28,2-11,0-5,4-5,1,4,"
5","
3",3,0,1,2,"
8","
-19
"
德安德烈-本布里,G-F,22,5-10,2-4,0-0,1,2,"
3","
3",3,4,3,0,"
12","
-6"
达米安-琼斯,C,19,2-2,0-0,0-0,1,4,"
5","
0",3,0,0,1,"
4","
+3"
亚历克斯-莱恩,C,16,5-8,0-3,0-0,0,4,"
4","
1",2,0,0,0,"
10","
-6"
阿伦-克拉布,G-F,16,0-3,0-1,0-0,0,2,"
2","
1",2,1,0,0,"
0","
0"
文斯-卡特,G-F,14,3-6,2-5,0-0,0,2,"
2","
0",1,3,0,0,"
8","
-16"
保罗-沃特森,G,13,0-6,0-2,0-0,0,1,"
1","
3",0,1,0,0,"
0","
+8"
查理-布朗,G,11,2-7,1-3,1-1,0,1,"
1","
1",0,0,0,1,"
6","
+16"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-杨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-费尔南多,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
