开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,37,11-22,5-8,0-0,1,3,"
4","
4",1,0,1,1,"
27","
+1"
达米安-利拉德,G,36,10-16,5-10,5-7,0,3,"
3","
9",1,0,4,0,"
30","
-7"
卡梅罗-安东尼,F,37,7-13,1-4,2-2,0,6,"
6","
8",2,1,2,0,"
17","
+1"
肯特-贝兹莫尔,F,30,1-3,1-3,2-2,0,3,"
3","
2",3,3,2,1,"
5","
+4"
哈桑-怀特塞德,C,24,2-6,0-1,3-4,0,11,"
11","
0",2,0,2,3,"
7","
-1"
小加里-特伦特,G-F,22,1-6,1-4,2-2,2,4,"
6","
2",1,0,0,0,"
5","
+11"
安东尼-托利弗,F,21,7-8,2-3,0-1,5,6,"
11","
1",3,0,0,0,"
16","
+2"
安芬尼-西蒙斯,G,20,2-7,1-4,0-0,0,2,"
2","
0",5,0,1,0,"
5","
0"
杰伦-赫尔德,F,9,1-2,0-0,1-1,1,0,"
1","
0",2,0,0,0,"
3","
+7"
纳西尔-利特尔,F-G,5,0-0,0-0,0-0,0,0,"
0","
0",1,0,1,0,"
0","
-3"
马里奥-海佐尼亚,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,39,8-18,4-8,5-6,0,7,"
7","
3",2,0,1,0,"
25","
-1
"
德文特-格雷厄姆,G,36,9-17,8-13,1-1,1,2,"
3","
10",3,1,2,0,"
27","
+4
"
PJ-华盛顿,F,33,6-15,3-6,5-5,2,9,"
11","
3",4,2,1,2,"
20","
+6
"
迈尔斯-布里奇斯,F,18,0-7,0-2,2-2,1,1,"
2","
1",2,0,1,0,"
2","
-5
"
科迪-泽勒,C,23,3-7,0-1,0-1,2,3,"
5","
0",1,1,0,0,"
6","
+7
"
尼古拉斯-巴图姆,G-F,31,4-5,1-2,0-0,1,6,"
7","
3",3,2,0,0,"
9","
-4"
德维恩-培根,G-F,22,2-7,1-2,1-1,0,1,"
1","
3",2,0,0,0,"
6","
-4"
吉列尔莫-埃尔南戈麦斯,C-F,16,7-8,0-0,0-2,2,2,"
4","
0",3,0,2,1,"
14","
0"
马文-威廉姆斯,F,15,1-5,1-3,0-0,0,1,"
1","
1",0,1,0,0,"
3","
-2"
马利克-蒙克,G,8,0-1,0-1,0-0,1,0,"
1","
0",0,0,1,0,"
0","
-16"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
俾斯麦-比永博,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-弗兰克斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
