篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,36,7-17,2-5,1-5,3,1,"
4","
5",2,0,4,0,"
17","
-13"
凯里-欧文,G,32,12-19,3-5,5-6,2,3,"
5","
11",0,2,1,1,"
32","
0"
乔-哈里斯,F,34,5-10,1-5,2-2,1,0,"
1","
1",3,1,0,0,"
13","
-8"
托里恩-普林斯,F,30,3-9,0-4,0-0,0,5,"
5","
1",0,0,1,0,"
6","
-14"
贾勒特-阿伦,C,25,4-8,0-0,0-0,0,2,"
2","
1",1,0,0,1,"
8","
-13"
卡里斯-勒韦尔,G,26,5-13,1-4,0-0,0,2,"
2","
3",2,0,2,1,"
11","
+5"
德安德烈-乔丹,C,23,4-5,0-0,1-2,3,11,"
14","
0",2,0,3,1,"
9","
+2"
蒂莫泰-卢瓦乌-卡巴罗,G-F,18,1-3,0-2,0-0,0,5,"
5","
0",2,1,0,0,"
2","
-14"
罗季翁斯-库鲁茨,F,16,4-6,1-1,0-0,2,3,"
5","
0",1,0,1,0,"
9","
0"
威尔森-钱德勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-安德森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加莱特-坦普尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,36,8-19,3-7,6-6,0,0,"
0","
4",3,1,3,0,"
25","
+20
"
乔-英格尔斯,G,30,10-14,6-8,1-1,0,3,"
3","
4",0,1,1,0,"
27","
+9
"
博扬-波格丹诺维奇,F,32,8-16,2-7,0-0,0,2,"
2","
0",1,1,2,0,"
18","
+5
"
罗伊斯-奥尼尔,F,32,0-5,0-3,0-0,0,6,"
6","
4",3,0,1,1,"
0","
+5
"
鲁迪-戈贝尔,C,37,9-12,0-0,4-6,4,14,"
18","
4",3,1,0,2,"
22","
+11
"
乔丹-克拉克森,G,26,6-13,1-5,0-0,1,2,"
3","
1",3,0,1,0,"
13","
-5"
乔治-尼昂,F,16,1-5,0-3,0-0,1,1,"
2","
0",0,0,0,0,"
2","
+6"
伊曼纽尔-穆迪埃,G,16,3-6,1-3,0-0,0,1,"
1","
2",0,1,0,0,"
7","
+4"
托尼-布拉德利,C-F,11,1-2,0-0,2-2,1,5,"
6","
0",2,3,0,0,"
4","
0"
雷琼-塔克,G-F,4,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-康利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
