湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼-格林,G,17,5-11,1-5,0-0,0,2,"
2","
1",2,1,0,0,"
11","
-1"
埃弗里-布拉德利,G,17,1-2,0-1,0-0,0,1,"
1","
1",2,1,1,0,"
2","
-20"
勒布朗-詹姆斯,F,36,7-19,2-9,3-5,0,3,"
3","
19",1,1,5,0,"
19","
-9"
凯尔-库兹马,F,27,2-10,0-2,0-0,2,3,"
5","
7",1,0,2,1,"
4","
-11"
贾维尔-麦基,C,22,7-7,0-0,0-0,1,8,"
9","
0",2,0,0,3,"
14","
-15"
肯塔维厄斯-考德威尔-波普,G,29,6-12,3-8,2-2,1,5,"
6","
3",4,1,1,0,"
17","
0"
德怀特-霍华德,C,26,4-10,0-0,1-3,8,8,"
16","
1",4,0,3,0,"
9","
+14"
奎因-库克,G,25,9-14,4-7,0-0,0,4,"
4","
1",3,1,1,0,"
22","
+17"
特洛伊-丹尼尔斯,G,21,6-9,4-5,1-1,1,0,"
1","
1",0,0,0,0,"
17","
+23"
贾里德-杜德利,F,16,1-1,1-1,0-0,0,1,"
1","
0",1,1,2,0,"
3","
-4"
亚历克斯-卡鲁索,G,4,0-2,0-0,0-0,0,0,"
0","
0",0,1,1,1,"
0","
+1"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-戴维斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马克尔-富尔茨,G,33,9-19,0-0,3-3,2,9,"
11","
10",0,1,1,0,"
21","
-1
"
韦斯利-艾旺杜,G,32,5-8,1-1,8-10,1,3,"
4","
2",2,2,2,0,"
19","
0
"
阿龙-戈登,F,38,7-12,1-3,6-8,1,5,"
6","
3",4,2,4,0,"
21","
+10
"
肯-伯奇,F,16,0-2,0-0,0-0,0,1,"
1","
0",1,0,0,0,"
0","
+9
"
尼古拉-武切维奇,C,32,7-18,3-7,2-2,0,4,"
4","
2",4,1,1,0,"
19","
+1
"
特伦斯-罗斯,G-F,31,5-12,2-6,3-4,0,4,"
4","
3",4,1,2,0,"
15","
-5"
BJ-约翰逊,F,23,4-10,1-4,0-0,1,2,"
3","
1",0,2,3,0,"
9","
-7"
加里-克拉克,F,20,4-6,2-4,0-0,3,1,"
4","
0",0,0,0,1,"
10","
-2"
穆罕默德-班巴,C,16,2-6,0-1,1-2,5,6,"
11","
1",0,1,1,1,"
5","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-富尼耶,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-奥古斯丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克-劳,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
