76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,37,10-17,0-0,0-0,3,8,"
11","
7",2,1,2,0,"
20","
+17"
约什-理查德森,G,27,1-6,0-2,0-0,1,6,"
7","
4",2,0,1,0,"
2","
-5"
托拜厄斯-哈里斯,F,36,5-12,0-3,3-3,0,3,"
3","
4",1,2,1,0,"
13","
+19"
马蒂斯-赛布尔,F,36,2-7,1-5,2-2,2,2,"
4","
2",2,2,1,3,"
7","
+19"
艾尔-霍弗德,C,32,8-14,2-6,2-2,1,4,"
5","
6",1,0,2,1,"
20","
+12"
富尔坎-科尔克马兹,G-F,27,8-11,6-9,2-2,0,4,"
4","
0",1,0,1,1,"
24","
+6"
凯尔-奥奎因,C-F,16,3-5,0-1,0-0,1,4,"
5","
2",2,2,1,2,"
6","
-1"
劳尔-内托,G,14,1-3,0-1,0-0,0,1,"
1","
3",0,1,0,0,"
2","
-7"
詹姆斯-恩尼斯,F,11,2-4,0-1,2-2,1,2,"
3","
1",1,1,2,0,"
6","
-1"
迈克-斯科特,F,3,0-3,0-1,0-0,0,1,"
1","
1",0,0,0,0,"
0","
-4"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢克-米尔顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-伯克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,36,9-20,0-7,5-5,0,7,"
7","
3",2,0,4,0,"
23","
-17
"
托马什-萨托兰斯基,G,27,3-6,0-1,0-0,1,4,"
5","
6",2,0,2,0,"
6","
-5
"
劳里-马尔卡宁,F,29,5-9,2-5,0-0,1,3,"
4","
1",0,2,2,1,"
12","
-9
"
克里斯-邓恩,F,15,0-3,0-2,0-0,0,2,"
2","
2",2,1,3,0,"
0","
-5
"
卢克-科内特,C,28,4-10,2-8,3-5,1,2,"
3","
2",2,1,1,2,"
13","
+3
"
赛迪斯-杨,F,32,2-5,0-1,0-0,1,2,"
3","
2",1,2,1,0,"
4","
-3"
科比-怀特,G,25,5-13,2-6,2-2,0,4,"
4","
4",3,0,1,0,"
14","
-8"
钱德勒-哈奇森,F-G,20,3-7,1-2,0-2,1,3,"
4","
0",0,2,1,0,"
7","
-2"
克里斯蒂亚诺-费利西奥,F-C,14,2-2,0-0,1-1,1,1,"
2","
0",0,0,0,0,"
5","
-16"
里安-阿尔奇迪亚科诺,G,14,2-6,1-3,0-0,0,3,"
3","
1",2,0,1,0,"
5","
+7"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
温德尔-卡特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
