独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,34,11-23,8-12,5-8,2,6,"
8","
7",2,1,3,0,"
35","
+6"
小蒂姆-哈达威,G,32,9-16,5-8,6-7,1,3,"
4","
0",3,1,2,0,"
29","
+2"
马克西-克勒贝尔,F,33,2-8,2-7,4-4,2,3,"
5","
1",3,0,1,3,"
10","
+9"
多里安-芬尼-史密斯,F,30,2-6,1-4,1-1,1,4,"
5","
0",2,2,1,0,"
6","
+9"
德怀特-鲍威尔,C,28,3-6,0-1,2-2,3,3,"
6","
2",2,0,0,0,"
8","
0"
塞思-库里,G,29,6-14,3-10,1-2,0,4,"
4","
3",1,1,1,0,"
16","
+3"
贾斯廷-杰克逊,F,21,0-2,0-2,0-0,2,2,"
4","
1",2,0,0,1,"
0","
+4"
杰伦-布伦森,G,19,5-10,1-1,2-2,0,2,"
2","
1",1,1,3,0,"
13","
+3"
德朗-赖特,G,15,1-4,0-2,1-2,2,3,"
5","
4",1,0,2,0,"
3","
+4"
瑞安-布罗科夫,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,40,13-25,3-10,5-7,0,1,"
1","
10",1,2,4,0,"
34","
-5
"
CJ-麦科勒姆,G,11,2-6,0-1,0-0,0,1,"
1","
2",0,0,0,0,"
4","
-5
"
卡梅罗-安东尼,F,32,8-16,1-4,5-6,1,4,"
5","
0",3,0,2,0,"
22","
-8
"
肯特-贝兹莫尔,F,31,4-8,2-5,1-2,1,2,"
3","
4",4,1,1,0,"
11","
+11
"
哈桑-怀特塞德,C,36,9-10,0-0,3-6,4,14,"
18","
2",3,0,2,5,"
21","
-2
"
安芬尼-西蒙斯,G,28,3-9,1-4,0-0,0,5,"
5","
5",2,1,1,0,"
7","
-12"
小加里-特伦特,G-F,22,1-4,1-4,0-0,0,1,"
1","
1",2,2,1,0,"
3","
-6"
马里奥-海佐尼亚,F-G,19,3-5,0-0,1-1,2,1,"
3","
0",3,0,1,0,"
7","
-9"
安东尼-托利弗,F,17,1-2,1-2,0-0,0,2,"
2","
1",4,0,0,0,"
3","
-6"
纳西尔-利特尔,F-G,3,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+2"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-赫尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
