猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
OG-阿奴诺比,G,26,8-13,2-6,0-0,1,5,"
6","
2",2,4,4,0,"
18","
+8"
凯尔-洛瑞,G,22,4-9,2-6,1-1,1,2,"
3","
8",4,2,1,0,"
11","
+5"
赛尔吉-伊巴卡,F,26,6-9,1-2,2-2,3,5,"
8","
1",3,0,1,0,"
15","
+11"
帕斯卡尔-西亚卡姆,F,25,3-9,1-3,5-6,0,2,"
2","
3",1,2,1,0,"
12","
+6"
马克-加索尔,C,29,7-9,6-7,0-0,0,6,"
6","
5",3,2,3,1,"
20","
+26"
诺曼-鲍威尔,G,30,10-17,4-9,4-5,0,5,"
5","
2",1,3,1,1,"
28","
+22"
特伦斯-戴维斯,G,24,9-16,5-7,0-0,2,5,"
7","
3",4,0,3,0,"
23","
+21"
帕特里克-麦考,G-F,22,1-3,0-1,0-0,0,0,"
0","
4",1,0,1,0,"
2","
+20"
朗戴-霍利斯-杰弗森,F,19,1-2,0-0,2-2,0,2,"
2","
5",1,3,2,0,"
4","
+22"
马尔科姆-米勒,F-G,5,1-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
2","
+1"
斯坦利-约翰逊,F-G,5,0-0,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
0","
+1"
马特-托马斯,G,5,1-1,1-1,0-0,0,0,"
0","
1",0,0,1,0,"
3","
+1"
克里斯-布歇,F-C,5,1-2,0-1,0-0,0,2,"
2","
0",2,0,1,0,"
2","
+1"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,23,4-12,3-6,3-3,0,2,"
2","
3",0,0,3,1,"
14","
-3
"
以赛亚-托马斯,G,16,3-6,2-3,0-0,0,0,"
0","
2",0,0,2,0,"
8","
-11
"
伊萨克-邦加,F,29,6-9,2-2,3-3,5,5,"
10","
0",4,1,2,0,"
17","
-13
"
托马斯-布莱恩特,F,16,1-3,0-1,1-1,0,1,"
1","
0",2,1,3,0,"
3","
-11
"
伊安-马辛米,C,19,2-7,0-0,1-3,2,5,"
7","
0",1,1,3,0,"
5","
-5
"
伊斯梅尔-史密斯,G,32,5-9,2-2,0-1,0,3,"
3","
8",0,1,3,0,"
12","
-18"
戴维斯-贝尔坦斯,F,28,3-13,3-11,3-4,0,2,"
2","
2",4,1,4,1,"
12","
-14"
特洛伊-布朗,F-G,26,9-13,2-4,2-3,3,5,"
8","
1",1,3,2,0,"
22","
-23"
安热伊斯-帕塞奇尼克斯,C,23,4-6,0-0,3-5,1,5,"
6","
0",0,0,2,0,"
11","
-22"
加里-佩顿二世,G,21,2-6,0-3,0-0,2,1,"
3","
2",3,1,1,1,"
4","
-20"
乔丹-麦克雷,G,6,1-5,1-3,0-0,0,1,"
1","
1",1,0,1,0,"
3","
-5"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
