老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,27,6-16,2-7,2-4,1,7,"
8","
7",1,1,4,0,"
16","
-30"
凯文-赫尔特,G,24,1-7,0-2,0-0,1,1,"
2","
0",2,0,2,0,"
2","
-33"
德安德烈-亨特,F,31,8-15,2-6,1-1,2,3,"
5","
3",0,1,0,1,"
19","
-27"
卡姆-雷迪什,F,30,3-10,1-3,0-0,1,0,"
1","
0",2,1,0,0,"
7","
-25"
约翰-科林斯,C,27,8-16,2-4,2-2,2,3,"
5","
0",5,0,4,2,"
20","
-31"
杰夫-蒂格,G,25,6-9,1-1,2-2,0,3,"
3","
7",2,1,5,1,"
15","
-9"
德安德烈-本布里,G-F,20,1-2,0-1,2-2,0,2,"
2","
1",2,3,2,0,"
4","
+3"
布鲁诺-费尔南多,F-C,18,2-4,0-1,0-0,3,0,"
3","
0",2,2,1,0,"
4","
-4"
特雷韦恩-格雷厄姆,G-F,13,2-4,1-2,0-0,0,0,"
0","
0",1,0,1,0,"
5","
-3"
达米安-琼斯,C,12,1-1,0-0,2-2,0,2,"
2","
0",3,0,0,1,"
4","
0"
文斯-卡特,G-F,10,2-7,1-5,0-0,0,1,"
1","
0",0,0,0,1,"
5","
-7"
布兰登-古德温,G,4,0-2,0-2,2-2,0,0,"
0","
0",0,0,0,0,"
2","
+1"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-莱恩,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-罗斯,G,26,12-17,1-3,2-2,0,2,"
2","
9",1,1,1,0,"
27","
+24
"
布鲁斯-布朗,G,21,1-3,0-1,3-4,0,1,"
1","
1",3,1,2,0,"
5","
+20
"
塞古-敦布亚,F,28,1-8,1-4,1-2,1,3,"
4","
0",1,0,0,0,"
4","
+23
"
托尼-斯内尔,F,19,3-3,1-1,1-1,0,1,"
1","
0",0,1,0,3,"
8","
+22
"
安德烈-德拉蒙德,C,27,7-15,0-0,2-4,7,10,"
17","
3",4,5,3,1,"
16","
+22
"
斯维亚托斯拉夫-米哈伊柳克,G-F,29,9-11,5-7,2-2,0,2,"
2","
3",3,1,2,1,"
25","
+11"
兰斯顿-加洛韦,G,27,5-8,2-4,2-2,1,2,"
3","
4",1,1,0,0,"
14","
+13"
蒂姆-弗雷泽,G,22,1-4,0-3,0-0,1,1,"
2","
7",2,0,6,0,"
2","
+9"
马基夫-莫里斯,F,20,7-10,3-5,5-6,0,1,"
1","
2",2,1,1,0,"
22","
+10"
克里斯蒂安-伍德,F,16,4-6,1-3,1-2,1,6,"
7","
1",0,1,2,3,"
10","
+14"
索恩-梅克,F-C,5,1-1,1-1,0-0,0,1,"
1","
1",1,0,0,0,"
3","
-3"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-杰克逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
