雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,35,9-17,0-4,4-6,3,7,"
10","
5",1,0,2,0,"
22","
+10"
克里斯-保罗,G,27,11-15,3-5,5-5,0,4,"
4","
7",1,0,1,0,"
30","
+20"
哈米杜-迪亚洛,F,33,2-5,0-2,0-0,0,1,"
1","
0",3,1,3,0,"
4","
-2"
达里厄斯-贝兹利,F,31,2-9,0-2,5-6,3,10,"
13","
1",1,0,0,1,"
9","
+2"
史蒂文-亚当斯,C,24,1-7,0-0,3-4,5,4,"
9","
3",2,0,3,0,"
5","
+20"
丹尼斯-施罗德,G,29,5-11,2-2,3-4,1,2,"
3","
4",2,0,1,0,"
15","
+6"
吕冈茨-多尔特,G,20,2-4,1-3,2-3,0,0,"
0","
2",4,2,1,0,"
7","
+5"
纳伦斯-诺埃尔,C-F,19,6-7,0-0,3-4,0,5,"
5","
2",3,2,0,2,"
15","
-1"
德翁特-伯顿,G-F,17,4-6,0-2,1-4,0,3,"
3","
0",3,0,1,1,"
9","
+11"
迈克-穆斯卡拉,F-C,5,1-2,1-2,0-0,0,0,"
0","
1",0,0,0,0,"
3","
-6"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-弗格森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿卜杜勒-纳迪尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,36,10-23,5-12,9-12,0,0,"
0","
6",2,1,4,0,"
34","
-16
"
安芬尼-西蒙斯,G,35,4-11,1-3,3-3,1,2,"
3","
1",4,0,0,0,"
12","
-12
"
卡梅罗-安东尼,F,32,4-13,0-3,1-2,1,3,"
4","
0",3,0,2,1,"
9","
-15
"
纳西尔-利特尔,F,20,2-7,1-3,0-0,2,4,"
6","
1",5,1,1,1,"
5","
-4
"
哈桑-怀特塞德,C,32,3-9,0-0,0-0,1,8,"
9","
1",2,0,2,4,"
6","
-14
"
小加里-特伦特,G-F,36,12-18,5-9,1-2,3,2,"
5","
1",3,3,0,1,"
30","
+7"
马里奥-海佐尼亚,F-G,29,1-4,0-1,2-2,1,7,"
8","
0",4,1,3,0,"
4","
-2"
杰伦-赫尔德,F,20,3-6,0-1,0-0,3,2,"
5","
1",5,1,0,0,"
6","
-9"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
CJ-麦科勒姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
