马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,22,3-6,1-1,0-0,0,3,"
3","
1",2,1,2,0,"
7","
-16"
布林-福布斯,G,16,0-5,0-5,2-3,0,0,"
0","
0",3,0,1,0,"
2","
-6"
德马尔-德罗赞,F,38,7-16,0-1,6-6,1,8,"
9","
9",4,1,2,0,"
20","
-7"
拉马库斯-阿尔德里奇,F,36,8-15,2-4,3-3,3,1,"
4","
3",1,1,2,2,"
21","
-6"
特雷-莱尔斯,C,21,4-6,1-2,0-0,1,5,"
6","
1",2,0,2,0,"
9","
-10"
帕蒂-米尔斯,G,29,5-11,4-10,4-4,2,3,"
5","
3",0,0,1,0,"
18","
+17"
德里克-怀特,G,26,5-11,1-3,0-0,1,3,"
4","
6",2,2,1,0,"
11","
+21"
马科-贝里内利,G,21,2-6,2-5,6-6,0,7,"
7","
2",1,0,0,0,"
12","
+11"
朗尼-沃克,G-F,20,2-8,1-2,2-2,0,3,"
3","
2",1,0,0,0,"
7","
+10"
雅各布-珀尔特尔,C,12,0-1,0-0,0-0,1,1,"
2","
0",2,0,0,2,"
0","
+11"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鲁迪-盖伊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,36,8-14,2-4,0-0,0,3,"
3","
4",2,2,2,0,"
18","
+6
"
邓肯-罗宾逊,G,35,4-11,4-10,0-0,0,5,"
5","
0",3,1,1,1,"
12","
+16
"
巴姆-阿德巴约,F,36,8-13,0-1,5-5,4,12,"
16","
6",0,2,2,0,"
21","
+12
"
吉米-巴特勒,F,33,5-14,0-2,6-6,1,4,"
5","
6",3,2,0,0,"
16","
+4
"
迈耶斯-伦纳德,C,29,1-7,1-6,2-2,2,4,"
6","
2",3,0,0,0,"
5","
+7
"
戈兰-德拉季奇,G,24,7-13,2-5,3-5,1,4,"
5","
2",0,0,3,0,"
19","
-13"
小德里克-琼斯,F-G,16,2-5,0-0,2-2,2,1,"
3","
2",2,0,1,1,"
6","
-21"
詹姆斯-约翰逊,F,15,2-5,1-4,0-0,0,3,"
3","
0",4,0,0,1,"
5","
-9"
泰勒-希罗,G,9,0-2,0-0,0-0,0,1,"
1","
1",2,0,0,0,"
0","
-14"
凯利-奥利尼克,F-C,7,0-2,0-2,0-0,0,0,"
0","
0",0,1,0,0,"
0","
-13"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
