太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,39,13-23,4-6,7-7,1,6,"
7","
5",3,0,5,0,"
37","
+6"
里基-卢比奥,G,36,6-12,1-3,2-3,1,2,"
3","
9",2,2,3,1,"
15","
-9"
凯利-乌布雷,F,37,6-13,1-6,2-3,0,8,"
8","
1",6,0,2,1,"
15","
+2"
达里奥-沙里奇,F,20,2-5,1-2,5-5,1,4,"
5","
1",0,0,0,0,"
10","
-22"
德安德烈-艾顿,C,39,9-14,0-0,7-8,2,10,"
12","
2",5,1,1,1,"
25","
-5"
米卡尔-布里奇斯,F,32,2-4,0-2,0-0,0,0,"
0","
2",1,0,1,0,"
4","
+4"
杰文-卡特,G,16,1-4,1-3,0-0,0,1,"
1","
1",0,0,0,0,"
3","
+6"
埃利-奥科博,G-F,12,0-1,0-0,3-4,1,2,"
3","
4",1,0,1,0,"
3","
+5"
谢赫-迪亚洛,F-C,9,3-4,0-0,0-0,2,2,"
4","
1",1,0,1,0,"
6","
+3"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-约翰逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡梅伦-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,33,8-13,8-11,0-2,0,1,"
1","
2",4,0,1,0,"
24","
+9
"
德章泰-默里,G,24,4-7,2-2,0-0,1,1,"
2","
4",3,4,1,0,"
10","
-3
"
德马尔-德罗赞,F,35,5-15,0-0,8-9,2,7,"
9","
8",3,3,5,0,"
18","
+12
"
拉马库斯-阿尔德里奇,F,32,6-14,1-4,6-8,0,3,"
3","
2",3,2,1,3,"
19","
+8
"
特雷-莱尔斯,C,21,1-3,0-1,0-0,0,5,"
5","
2",2,1,0,0,"
2","
+21
"
德里克-怀特,G,27,9-14,4-5,3-3,1,2,"
3","
7",3,0,0,0,"
25","
-6"
马科-贝里内利,G,23,5-9,1-2,0-0,0,3,"
3","
2",2,0,0,0,"
11","
-11"
朗尼-沃克,G-F,18,1-3,1-2,0-0,0,1,"
1","
0",1,1,0,1,"
3","
-6"
雅各布-珀尔特尔,C,16,3-4,0-0,0-0,2,2,"
4","
3",1,1,0,3,"
6","
-3"
帕蒂-米尔斯,G,12,1-5,0-4,0-0,0,0,"
0","
0",1,0,0,0,"
2","
-11"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鲁迪-盖伊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
