篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,35,6-17,3-7,7-9,0,5,"
5","
7",3,1,5,0,"
22","
-2"
加莱特-坦普尔,G,20,1-4,0-3,0-0,0,3,"
3","
1",0,1,1,0,"
2","
-4"
乔-哈里斯,F,33,4-9,1-5,3-5,0,3,"
3","
1",6,0,5,0,"
12","
-2"
托里恩-普林斯,F,31,5-9,1-3,1-2,3,9,"
12","
1",2,1,2,1,"
12","
-4"
贾勒特-阿伦,C,31,5-8,0-0,3-4,4,9,"
13","
2",0,1,2,1,"
13","
-4"
卡里斯-勒韦尔,G,29,6-16,1-2,3-4,2,4,"
6","
6",2,0,2,0,"
16","
-4"
尼古拉斯-克拉克斯顿,F-C,17,6-8,1-2,2-3,4,0,"
4","
2",2,0,0,0,"
15","
-2"
罗季翁斯-库鲁茨,F,17,1-1,1-1,2-2,0,0,"
0","
1",3,1,2,0,"
5","
-2"
蒂莫泰-卢瓦乌-卡巴罗,G-F,15,4-4,3-3,1-2,0,1,"
1","
0",3,1,2,0,"
12","
-4"
扎南-穆萨,G-F,12,1-5,0-3,0-3,0,0,"
0","
1",2,1,1,0,"
2","
-2"
德安德烈-乔丹,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔森-钱德勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,42,12-14,0-0,10-14,2,10,"
12","
12",3,5,3,2,"
34","
+13
"
约什-理查德森,G,32,6-12,1-2,2-2,1,1,"
2","
4",2,1,1,0,"
15","
-10
"
托拜厄斯-哈里斯,F,34,5-17,3-10,2-2,0,6,"
6","
0",3,1,0,1,"
15","
-7
"
马蒂斯-赛布尔,F,33,1-7,0-5,1-3,2,2,"
4","
3",1,4,2,1,"
3","
+7
"
艾尔-霍弗德,C,26,9-15,1-3,0-0,2,4,"
6","
2",3,0,1,2,"
19","
+3
"
富尔坎-科尔克马兹,G-F,24,3-11,3-8,1-2,0,2,"
2","
3",2,0,1,0,"
10","
+16"
劳尔-内托,G,16,1-7,1-3,0-0,0,1,"
1","
4",1,1,1,0,"
3","
+6"
迈克-斯科特,F,14,2-4,2-3,2-2,5,3,"
8","
0",2,0,1,0,"
8","
+13"
乔纳-博尔登,F,9,1-2,0-1,0-0,0,1,"
1","
0",4,0,1,0,"
2","
-2"
凯尔-奥奎因,C-F,6,1-3,1-2,0-0,0,1,"
1","
1",2,0,0,0,"
3","
-4"
詹姆斯-恩尼斯,F,4,1-2,1-2,2-2,0,0,"
0","
1",1,0,1,0,"
5","
-5"
谢克-米尔顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-伯克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
