公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,33,8-18,3-6,6-8,1,4,"
5","
1",2,0,3,1,"
25","
+1"
托马什-萨托兰斯基,G,22,1-7,0-2,0-0,1,3,"
4","
5",1,1,1,0,"
2","
-12"
劳里-马尔卡宁,F,34,6-14,4-10,5-6,1,5,"
6","
1",4,1,3,0,"
21","
-2"
克里斯-邓恩,F,32,3-4,0-1,8-9,1,6,"
7","
4",3,2,1,0,"
14","
+5"
卢克-科内特,C,18,5-10,1-5,4-4,1,2,"
3","
2",3,1,0,1,"
15","
+3"
科比-怀特,G,25,5-12,1-4,1-3,0,3,"
3","
2",4,0,2,0,"
12","
+22"
克里斯蒂亚诺-费利西奥,F-C,22,5-6,0-0,2-2,7,3,"
10","
1",0,0,0,0,"
12","
+3"
钱德勒-哈奇森,F-G,20,3-6,0-1,3-4,0,6,"
6","
1",3,3,0,0,"
9","
+7"
赛迪斯-杨,F,19,3-5,0-1,0-0,0,5,"
5","
0",0,1,2,0,"
6","
+4"
里安-阿尔奇迪亚科诺,G,15,0-2,0-0,1-1,0,1,"
1","
4",2,0,0,0,"
1","
+4"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
温德尔-卡特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
沙巴兹-内皮尔,G,31,5-6,2-3,4-4,1,6,"
7","
5",3,2,2,0,"
16","
0
"
贾勒特-卡尔弗,G,25,1-5,1-3,0-2,1,0,"
1","
2",3,0,2,1,"
3","
0
"
安德鲁-威金斯,F,35,10-19,4-10,1-6,1,4,"
5","
9",2,1,5,0,"
25","
+6
"
罗伯特-科温顿,F,31,4-9,1-5,0-0,1,6,"
7","
1",3,0,3,1,"
9","
+3
"
卡尔-安东尼-唐斯,C,31,16-24,4-8,4-5,1,5,"
6","
2",4,0,2,0,"
40","
-7
"
阿伦-克拉布,G-F,20,2-7,1-5,0-0,0,2,"
2","
0",2,0,1,0,"
5","
-15"
约什-奥科吉,G,19,0-3,0-2,0-0,3,3,"
6","
5",2,0,2,0,"
0","
-6"
乔丹-麦克劳克林,G,17,1-4,1-3,2-2,0,0,"
0","
2",1,1,0,0,"
5","
-7"
戈尔吉-吉昂,C,17,1-5,1-4,0-0,1,6,"
7","
1",3,2,0,1,"
3","
0"
凯塔-贝茨-迪奥普,F,13,1-4,0-1,2-5,1,1,"
2","
0",2,1,1,0,"
4","
-9"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-贝尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
