雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,28,7-13,2-5,2-2,2,4,"
6","
5",2,1,4,0,"
18","
+12"
吕冈茨-多尔特,G,16,2-3,1-1,0-0,0,0,"
0","
2",2,1,1,0,"
5","
-1"
谢伊-吉尔杰斯-亚历山大,F,37,7-16,0-2,10-13,1,2,"
3","
6",1,1,3,3,"
24","
+25"
达尼罗-加里纳利,F,28,7-10,4-6,7-7,1,5,"
6","
3",2,1,1,0,"
25","
+10"
纳伦斯-诺埃尔,C,25,5-6,0-0,0-1,0,8,"
8","
0",3,0,2,1,"
10","
+9"
丹尼斯-施罗德,G,31,8-16,3-4,2-3,0,3,"
3","
8",3,0,1,0,"
21","
+19"
哈米杜-迪亚洛,G,28,3-6,0-1,3-3,1,8,"
9","
1",4,2,1,0,"
9","
+31"
达里厄斯-贝兹利,F-G,20,5-7,0-0,1-4,1,4,"
5","
1",0,0,1,1,"
11","
+22"
迈克-穆斯卡拉,F-C,20,5-7,4-6,0-0,0,3,"
3","
2",2,0,0,0,"
14","
+16"
凯文-赫维,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
德翁特-伯顿,G-F,3,1-2,0-0,1-1,0,2,"
2","
0",1,0,0,0,"
3","
+1"
特伦斯-弗格森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
史蒂文-亚当斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿卜杜勒-纳迪尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,34,7-20,2-8,10-12,0,2,"
2","
16",0,1,1,0,"
26","
-14
"
凯文-赫尔特,G,30,2-6,1-3,0-0,1,5,"
6","
3",3,0,0,2,"
5","
-13
"
德安德烈-亨特,F,30,5-12,0-3,0-0,1,1,"
2","
0",4,1,2,1,"
10","
-19
"
约翰-科林斯,F,27,13-16,2-4,0-0,1,5,"
6","
0",5,1,2,0,"
28","
-21
"
布鲁诺-费尔南多,C,14,0-1,0-1,0-0,0,1,"
1","
0",5,0,2,0,"
0","
-14
"
卡姆-雷迪什,F-G,28,7-11,4-6,2-4,0,6,"
6","
0",2,1,1,1,"
20","
-18"
杰夫-蒂格,G,21,4-7,1-1,0-0,1,1,"
2","
2",1,0,1,0,"
9","
-16"
亚历克斯-莱恩,C,14,0-3,0-0,0-0,2,2,"
4","
0",0,1,0,3,"
0","
+4"
布兰登-古德温,G,14,1-6,0-2,2-2,0,1,"
1","
2",1,1,1,0,"
4","
-15"
文斯-卡特,G-F,10,1-4,0-3,0-0,1,1,"
2","
0",1,0,0,0,"
2","
-3"
达米安-琼斯,C,10,1-2,0-1,2-2,3,2,"
5","
0",3,0,0,0,"
4","
-9"
特雷韦恩-格雷厄姆,G-F,4,0-2,0-2,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-6"
查理-布朗,G,3,1-2,1-2,0-0,0,0,"
0","
1",2,0,1,0,"
3","
-1"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
