骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,35,5-12,2-5,1-1,0,0,"
0","
0",2,1,3,0,"
13","
-11"
科林-塞克斯顿,G,34,7-15,3-7,1-1,0,2,"
2","
3",2,1,3,0,"
18","
-15"
凯文-乐福,F,33,8-16,4-8,0-0,1,10,"
11","
2",3,1,4,0,"
20","
-7"
切迪-奥斯曼,F,30,7-11,2-4,2-3,1,0,"
1","
6",2,2,0,0,"
18","
-11"
特里斯坦-汤普森,C,28,3-7,0-0,1-2,5,2,"
7","
6",1,0,3,0,"
7","
-32"
小拉里-南斯,F-C,24,7-11,1-3,0-0,1,10,"
11","
4",2,0,2,0,"
15","
+3"
丹特-埃克萨姆,G,22,1-3,0-0,2-2,2,1,"
3","
5",2,0,1,0,"
4","
-2"
阿方索-麦金尼,F,18,2-5,0-1,0-0,1,5,"
6","
1",4,0,2,0,"
4","
-1"
约翰-亨森,F-C,12,2-3,1-2,2-2,0,2,"
2","
0",2,0,1,1,"
7","
+12"
马修-戴拉维多瓦,G,5,0-1,0-0,0-0,0,0,"
0","
3",0,0,2,0,"
0","
+4"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,39,16-30,5-12,7-8,2,8,"
10","
8",1,1,4,0,"
44","
+20
"
托马什-萨托兰斯基,G,30,8-11,1-2,2-2,2,4,"
6","
6",2,3,1,0,"
19","
+24
"
赛迪斯-杨,F,35,5-9,0-2,1-2,0,3,"
3","
2",3,3,2,1,"
11","
+26
"
克里斯-邓恩,F,33,4-6,0-2,2-2,0,5,"
5","
4",2,3,0,0,"
10","
+12
"
卢克-科内特,C,26,3-5,0-1,0-2,0,1,"
1","
1",1,0,0,1,"
6","
+21
"
克里斯蒂亚诺-费利西奥,F-C,20,0-1,0-0,0-0,2,2,"
4","
0",2,2,1,0,"
0","
-7"
科比-怀特,G,19,2-6,1-2,3-3,0,2,"
2","
1",1,1,0,0,"
8","
-4"
钱德勒-哈奇森,F-G,15,2-7,1-3,3-4,1,2,"
3","
0",2,1,0,0,"
8","
-16"
里安-阿尔奇迪亚科诺,G,12,3-5,3-5,0-1,0,0,"
0","
0",2,0,0,0,"
9","
-6"
登泽尔-瓦伦丁,G,11,1-5,1-4,0-0,0,2,"
2","
2",0,1,1,0,"
3","
-10"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
温德尔-卡特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
劳里-马尔卡宁,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
