马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,26,5-12,3-7,0-0,0,2,"
2","
3",1,1,1,0,"
13","
-9"
德章泰-默里,G,25,5-12,3-4,0-0,2,4,"
6","
2",1,1,3,2,"
13","
-2"
拉马库斯-阿尔德里奇,F,35,3-6,1-2,3-3,2,8,"
10","
0",4,0,1,0,"
10","
-12"
德马尔-德罗赞,F,35,4-9,0-1,6-6,0,6,"
6","
7",1,0,2,0,"
14","
-12"
特雷-莱尔斯,C,6,0-2,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-6"
德里克-怀特,G,28,4-11,2-5,4-5,1,3,"
4","
4",3,0,6,4,"
14","
-7"
帕蒂-米尔斯,G,20,2-6,2-5,0-0,2,3,"
5","
4",0,0,0,0,"
6","
+6"
马科-贝里内利,G,18,3-8,3-7,3-3,0,1,"
1","
5",3,0,0,0,"
12","
+11"
鲁迪-盖伊,F-G,18,1-5,0-2,2-2,0,6,"
6","
2",1,1,1,0,"
4","
-7"
朗尼-沃克,G-F,16,2-4,2-3,3-4,0,1,"
1","
0",0,2,1,0,"
9","
+10"
雅各布-珀尔特尔,C,13,5-7,0-0,1-1,0,7,"
7","
0",0,0,1,2,"
11","
+8"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,40,4-15,3-10,2-2,1,3,"
4","
7",3,4,0,1,"
13","
+8
"
凯尔-洛瑞,G,37,6-14,1-7,3-3,0,4,"
4","
4",4,1,2,0,"
16","
+2
"
帕斯卡尔-西亚卡姆,F,37,12-23,5-11,6-9,2,6,"
8","
3",4,1,2,0,"
35","
+15
"
OG-阿奴诺比,F,24,4-8,2-5,0-0,2,3,"
5","
3",2,1,0,1,"
10","
+5
"
马克-加索尔,C,36,3-9,1-6,1-1,2,10,"
12","
5",1,0,0,0,"
8","
+11
"
诺曼-鲍威尔,G,23,3-11,1-4,0-0,2,1,"
3","
2",2,1,1,0,"
7","
+1"
赛尔吉-伊巴卡,F,22,6-12,0-1,0-0,5,5,"
10","
4",1,2,1,0,"
12","
-5"
特伦斯-戴维斯,G,12,3-6,3-6,0-0,0,3,"
3","
1",4,1,1,0,"
9","
-13"
朗戴-霍利斯-杰弗森,F,6,0-1,0-0,0-0,0,1,"
1","
1",1,0,1,0,"
0","
-3"
马特-托马斯,G,3,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-1"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-布歇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
