魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,30,5-19,1-8,0-0,1,1,"
2","
3",3,1,0,1,"
11","
-19"
马克尔-富尔茨,G,26,3-7,1-2,1-3,0,2,"
2","
2",0,3,2,0,"
8","
-25"
阿龙-戈登,F,34,3-12,1-4,3-7,4,6,"
10","
5",3,1,1,0,"
10","
-23"
肯-伯奇,F,27,3-5,0-0,3-4,4,1,"
5","
0",4,1,0,2,"
9","
-6"
尼古拉-武切维奇,C,26,5-14,0-5,3-3,2,4,"
6","
5",6,0,3,0,"
13","
-31"
特伦斯-罗斯,G-F,28,3-15,0-6,2-3,0,3,"
3","
1",0,1,0,1,"
8","
-4"
迈克尔-卡特-威廉姆斯,G,23,6-11,1-2,2-2,2,5,"
7","
8",4,0,0,0,"
15","
+9"
韦斯利-艾旺杜,F,21,3-5,2-3,4-4,1,3,"
4","
2",1,0,0,0,"
12","
+5"
穆罕默德-班巴,C,20,3-6,1-2,3-4,1,3,"
4","
1",2,1,0,3,"
10","
+15"
BJ-约翰逊,F,1,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
维克-劳,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
梅尔文-弗雷泽,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,1,0,0,"
0","
+1"
阿米尔-杰弗森,F,1,0-0,0-0,1-2,1,0,"
1","
0",0,0,0,0,"
1","
+1"
DJ-奥古斯丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
兰德里-沙梅特,G,36,6-14,4-10,3-3,1,2,"
3","
3",1,0,1,0,"
19","
+17
"
科怀-伦纳德,G,34,11-20,3-6,6-8,2,12,"
14","
7",2,1,4,1,"
31","
+26
"
莫里斯-哈克利斯,F,31,3-5,2-3,0-0,1,4,"
5","
2",2,1,1,1,"
8","
+24
"
帕特里克-帕特森,F,22,2-4,2-3,4-4,1,3,"
4","
1",3,0,2,0,"
10","
+22
"
伊维察-祖巴茨,C,21,3-4,0-0,0-0,4,7,"
11","
1",4,0,3,1,"
6","
+20
"
路易斯-威廉姆斯,G,27,3-10,2-6,7-8,0,2,"
2","
1",3,0,2,0,"
15","
-7"
蒙特雷兹-哈勒尔,F-C,26,7-15,0-0,5-6,2,3,"
5","
2",3,0,1,3,"
19","
-6"
杰迈克尔-格林,F-C,15,0-2,0-0,0-0,1,4,"
5","
2",6,0,1,0,"
0","
-16"
罗德尼-麦格鲁德,G,12,0-1,0-0,0-0,0,2,"
2","
0",0,0,1,1,"
0","
-2"
杰罗姆-罗宾逊,G,9,1-3,0-2,0-0,0,0,"
0","
0",0,0,1,0,"
2","
-6"
特伦斯-曼,G-F,5,0-0,0-0,0-0,0,1,"
1","
1",2,0,0,0,"
0","
+2"
乔纳森-莫特利,F,2,1-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
+1"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-乔治,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
