爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,36,14-25,3-10,5-6,0,3,"
3","
4",5,3,3,0,"
36","
+2"
乔-英格尔斯,G,33,2-8,1-7,2-2,0,2,"
2","
6",6,0,3,0,"
7","
+7"
博扬-波格丹诺维奇,F,35,10-18,7-13,3-3,0,1,"
1","
2",3,0,3,0,"
30","
-17"
罗伊斯-奥尼尔,F,26,1-6,0-3,1-1,1,5,"
6","
5",5,0,1,0,"
3","
-15"
鲁迪-戈贝尔,C,37,3-5,0-0,6-10,1,13,"
14","
0",2,1,1,2,"
12","
-15"
迈克-康利,G,25,4-9,0-4,2-4,0,3,"
3","
4",5,0,5,0,"
10","
-12"
乔丹-克拉克森,G,21,4-8,0-3,0-0,0,1,"
1","
0",1,0,1,1,"
8","
-7"
乔治-尼昂,F,15,2-3,1-2,0-0,0,4,"
4","
3",1,2,0,0,"
5","
+6"
托尼-布拉德利,C-F,11,3-3,0-0,0-0,0,4,"
4","
0",5,1,0,0,"
6","
+6"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷琼-塔克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊曼纽尔-穆迪埃,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
奥斯汀-里弗斯,G,41,7-21,2-8,5-8,0,4,"
4","
1",3,1,2,2,"
21","
+18
"
埃里克-戈登,G,38,14-22,6-11,16-20,0,6,"
6","
3",0,2,2,1,"
50","
+12
"
PJ-塔克,F,32,2-4,1-3,4-4,3,7,"
10","
5",5,1,3,1,"
9","
+5
"
本-麦克勒摩,F,24,2-3,2-3,0-2,0,2,"
2","
2",6,0,0,0,"
6","
0
"
丹纽尔-豪斯,C,46,6-14,2-5,7-9,1,10,"
11","
2",4,5,5,0,"
21","
+9
"
萨博-塞福洛沙,F-G,26,4-7,1-4,0-2,0,3,"
3","
1",2,2,1,0,"
9","
+10"
迈克尔-弗雷泽,G,20,1-3,1-2,3-4,0,0,"
0","
0",4,0,0,0,"
6","
+11"
克里斯-克莱蒙斯,G,7,1-6,0-4,0-0,0,1,"
1","
0",0,0,0,0,"
2","
-11"
以赛亚-哈尔滕施泰因,C-F,6,1-1,0-0,0-0,2,1,"
3","
0",1,0,2,0,"
2","
-9"
克林特-卡佩拉,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-哈登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威廉-霍华德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
