76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,27,4-11,0-0,9-10,0,4,"
4","
5",2,1,2,0,"
17","
-4"
谢克-米尔顿,G,26,5-6,1-2,0-0,0,1,"
1","
2",3,1,2,0,"
11","
+8"
托拜厄斯-哈里斯,F,37,6-10,1-3,1-2,0,7,"
7","
4",1,0,2,0,"
14","
+11"
艾尔-霍弗德,F,31,4-11,2-6,2-2,0,11,"
11","
8",1,1,2,0,"
12","
+7"
乔尔-恩比德,C,26,9-13,1-3,5-8,2,8,"
10","
1",2,0,5,1,"
24","
+10"
马蒂斯-赛布尔,F,24,2-5,1-4,0-0,0,2,"
2","
3",4,0,0,0,"
5","
-4"
富尔坎-科尔克马兹,G-F,22,3-7,2-6,0-0,0,2,"
2","
2",1,0,1,2,"
8","
+6"
劳尔-内托,G,21,7-10,3-5,2-2,0,2,"
2","
2",3,1,0,0,"
19","
+15"
迈克-斯科特,F,11,0-2,0-1,0-0,0,2,"
2","
1",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,10,1-5,0-2,1-2,0,1,"
1","
0",1,1,0,0,"
3","
+2"
詹姆斯-恩尼斯,F,5,1-2,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
2","
+4"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-伯克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-理查德森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,37,10-22,6-12,2-5,1,4,"
5","
7",2,2,3,0,"
28","
-8
"
达米恩-李,G,27,2-8,1-3,1-2,1,0,"
1","
1",2,0,0,0,"
6","
+5
"
德雷蒙德-格林,F,33,3-8,1-6,2-2,0,9,"
9","
12",5,1,1,3,"
9","
+7
"
格伦-罗宾逊三世,F,33,7-11,3-5,3-3,1,4,"
5","
3",0,1,1,0,"
20","
+7
"
马基斯-克里斯,C,31,6-10,0-2,3-4,1,4,"
5","
2",2,0,0,0,"
15","
+8
"
亚历克-伯克斯,G,26,3-8,2-3,4-5,1,5,"
6","
2",2,1,4,0,"
12","
-31"
奥马里-斯佩尔曼,F,19,2-7,1-4,0-0,0,4,"
4","
0",2,0,1,0,"
5","
-20"
乔丹-普尔,G,15,1-5,1-4,0-0,0,2,"
2","
0",2,0,0,0,"
3","
-12"
埃里克-帕斯卡尔,F,11,2-6,0-1,0-0,1,2,"
3","
0",5,0,3,0,"
4","
-12"
雅各布-埃文斯,G-F,7,1-2,0-0,0-0,0,0,"
0","
2",2,1,0,0,"
2","
+1"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯-鲍曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
