凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯巴-沃克,G,31,5-13,2-5,1-2,0,4,"
4","
5",3,2,2,0,"
13","
+13"
杰伦-布朗,G,27,6-13,2-4,4-4,2,5,"
7","
2",6,1,5,1,"
18","
0"
戈登-海沃德,F,33,8-15,3-5,6-6,3,5,"
8","
3",0,1,2,1,"
25","
+4"
杰森-塔特姆,F,24,7-14,1-5,5-6,1,5,"
6","
2",2,1,2,1,"
20","
+12"
丹尼尔-泰斯,C,26,2-3,1-1,0-0,5,3,"
8","
3",3,2,3,0,"
5","
+3"
谢米-奥杰莱,F,29,3-5,1-3,2-2,1,3,"
4","
1",2,2,0,0,"
9","
+14"
马库斯-斯马特,G,27,8-16,5-10,0-0,0,3,"
3","
6",1,1,4,1,"
21","
+9"
格兰特-威廉姆斯,F,17,2-5,0-1,0-0,2,3,"
5","
3",3,2,1,0,"
4","
+14"
布拉德-沃纳梅克,G,15,0-2,0-0,0-0,0,3,"
3","
2",1,0,1,0,"
0","
+10"
樊尚-普瓦里耶,C-F,6,0-0,0-0,2-2,0,3,"
3","
0",3,0,1,0,"
2","
-2"
罗密欧-兰福德,G-F,3,1-2,0-1,0-0,0,0,"
0","
0",0,0,1,0,"
2","
-1"
卡森-爱德华兹,G,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃内斯-坎特,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,32,4-6,1-3,2-2,0,7,"
7","
2",4,1,2,0,"
11","
+1
"
丹吉洛-拉塞尔,G,28,7-17,3-11,5-5,1,2,"
3","
5",1,3,4,0,"
22","
-14
"
格伦-罗宾逊三世,F,28,4-10,1-6,2-2,0,1,"
1","
3",3,0,1,1,"
11","
-16
"
德雷蒙德-格林,F,27,3-8,1-2,2-4,1,3,"
4","
7",3,1,3,0,"
9","
-8
"
马基斯-克里斯,C,23,4-6,0-0,1-2,1,2,"
3","
1",1,2,0,1,"
9","
-1
"
亚历克-伯克斯,G,24,5-10,3-6,5-6,0,4,"
4","
0",0,1,2,0,"
18","
-11"
埃里克-帕斯卡尔,F,23,1-5,0-1,2-2,0,1,"
1","
2",2,0,1,0,"
4","
-9"
奥马里-斯佩尔曼,F,22,2-6,1-4,2-2,0,3,"
3","
3",1,2,2,2,"
7","
-8"
乔丹-普尔,G,19,1-6,0-4,3-3,0,3,"
3","
1",3,0,1,1,"
5","
-5"
雅各布-埃文斯,G-F,13,2-3,2-2,2-2,0,1,"
1","
0",1,1,0,1,"
8","
-4"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯-鲍曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
