快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,24,4-7,3-4,0-0,1,0,"
1","
5",4,1,1,1,"
11","
-10"
保罗-乔治,G,19,2-10,1-4,3-4,0,4,"
4","
4",0,0,1,0,"
8","
-6"
兰德里-沙梅特,F,31,5-10,5-8,0-0,0,2,"
2","
3",4,0,0,0,"
15","
-9"
莫里斯-哈克利斯,F,24,2-8,0-3,0-0,1,3,"
4","
0",0,0,1,1,"
4","
-3"
伊维察-祖巴茨,C,22,1-7,0-0,3-4,4,6,"
10","
3",2,1,1,1,"
5","
-3"
路易斯-威廉姆斯,G,30,7-22,1-6,7-7,0,0,"
0","
6",1,1,6,0,"
22","
-19"
蒙特雷兹-哈勒尔,F-C,29,9-16,0-0,3-5,4,3,"
7","
3",1,0,1,3,"
21","
-24"
罗德尼-麦格鲁德,G,21,2-3,1-1,1-1,0,3,"
3","
1",4,0,2,0,"
6","
-6"
杰迈克尔-格林,F-C,21,2-6,2-3,0-0,1,6,"
7","
0",1,2,1,0,"
6","
-14"
杰罗姆-罗宾逊,G,10,1-2,0-1,1-2,0,0,"
0","
1",2,1,1,0,"
3","
-7"
帕特里克-帕特森,F,8,0-1,0-1,2-2,0,1,"
1","
0",1,0,0,0,"
2","
-4"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,35,14-24,3-4,3-5,0,3,"
3","
8",3,4,3,2,"
34","
+13
"
波格丹-波格丹诺维奇,G,25,5-6,4-5,1-1,0,6,"
6","
3",2,0,1,0,"
15","
+8
"
哈里森-巴恩斯,F,32,2-5,0-1,2-2,0,3,"
3","
3",3,0,0,0,"
6","
+20
"
内马尼亚-别利察,F,29,3-9,2-4,1-2,4,4,"
8","
1",2,0,2,0,"
9","
+6
"
德维恩-戴德蒙,C,31,4-8,1-3,2-2,1,10,"
11","
1",3,4,1,3,"
11","
+21
"
科里-约瑟夫,G,33,5-12,4-9,2-2,2,0,"
2","
7",2,1,0,1,"
16","
+28"
巴迪-希尔德,G,26,7-14,5-11,0-0,3,4,"
7","
1",1,1,1,0,"
19","
+10"
肯特-贝兹莫尔,G-F,20,3-7,2-3,0-0,1,4,"
5","
2",2,1,2,0,"
8","
+3"
哈里-贾尔斯,F-C,3,0-0,0-0,0-0,0,1,"
1","
0",2,0,0,1,"
0","
-4"
安东尼-托利弗,F,2,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,1,"
0","
0"
约吉-费雷尔,G,2,1-1,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
2","
0"
贾斯廷-詹姆斯,G-F,2,0-2,0-1,4-4,0,0,"
0","
0",0,0,0,0,"
4","
0"
达全-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
