骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,35,7-16,1-4,1-2,2,3,"
5","
8",3,1,2,0,"
16","
-11"
科林-塞克斯顿,G,33,9-17,1-5,4-4,3,1,"
4","
4",3,1,4,1,"
23","
-6"
凯文-乐福,F,33,8-13,6-9,1-1,1,4,"
5","
4",1,1,2,0,"
23","
-3"
切迪-奥斯曼,F,22,3-8,2-7,0-0,0,5,"
5","
4",3,1,1,0,"
8","
0"
特里斯坦-汤普森,C,27,1-4,0-1,0-0,5,7,"
12","
1",2,0,3,0,"
2","
-10"
小凯文-波特,G-F,29,5-9,2-4,1-2,1,2,"
3","
1",3,1,7,0,"
13","
+1"
小拉里-南斯,F-C,26,5-10,1-2,2-2,1,8,"
9","
0",2,0,0,1,"
13","
-6"
阿方索-麦金尼,F,18,0-6,0-3,2-2,1,3,"
4","
1",3,2,1,0,"
2","
-4"
约翰-亨森,F-C,11,1-1,0-0,0-0,1,4,"
5","
0",1,0,1,1,"
2","
+7"
丹特-埃克萨姆,G,7,3-6,0-1,1-1,0,0,"
0","
0",0,0,0,0,"
7","
+2"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马奎斯-博尔登,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马修-戴拉维多瓦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,37,8-16,2-6,5-6,2,3,"
5","
5",4,4,3,0,"
23","
+10
"
弗雷德-范弗利特,G,37,3-13,2-7,0-0,3,4,"
7","
12",2,1,2,0,"
8","
-5
"
帕斯卡尔-西亚卡姆,F,34,5-12,1-3,8-10,0,5,"
5","
2",4,4,3,1,"
19","
+10
"
OG-阿奴诺比,F,31,4-9,1-1,0-2,0,3,"
3","
1",2,0,2,0,"
9","
-3
"
赛尔吉-伊巴卡,C,33,10-14,3-6,3-3,1,3,"
4","
1",2,1,1,1,"
26","
+12
"
诺曼-鲍威尔,G,26,5-12,3-7,3-4,2,3,"
5","
0",3,1,1,0,"
16","
+6"
帕特里克-麦考,G-F,20,2-2,0-0,0-1,0,3,"
3","
1",1,1,1,0,"
4","
+4"
克里斯-布歇,F-C,15,4-5,0-1,2-2,0,4,"
4","
0",1,0,0,1,"
10","
-6"
特伦斯-戴维斯,G,7,0-1,0-1,0-0,1,0,"
1","
1",1,1,0,0,"
0","
+2"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗戴-霍利斯-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
