火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,40,13-28,0-1,6-7,2,4,"
6","
9",5,3,1,0,"
32","
+6"
詹姆斯-哈登,G,37,10-25,6-14,9-10,2,14,"
16","
6",4,4,3,0,"
35","
+9"
丹纽尔-豪斯,F,38,5-10,4-6,0-0,0,3,"
3","
0",2,2,0,2,"
14","
+11"
埃里克-戈登,F,31,6-13,3-8,2-2,0,1,"
1","
4",2,0,0,1,"
17","
+10"
PJ-塔克,C,36,2-6,2-5,0-0,0,1,"
1","
1",2,1,0,1,"
6","
+6"
奥斯汀-里弗斯,G,28,3-5,3-4,0-0,0,3,"
3","
2",1,1,0,0,"
9","
-7"
本-麦克勒摩,G,15,5-9,3-6,0-1,0,2,"
2","
0",2,0,1,1,"
13","
-4"
萨博-塞福洛沙,F-G,14,1-2,0-1,0-0,3,2,"
5","
3",2,0,1,0,"
2","
+4"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克林特-卡佩拉,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威廉-霍华德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰拉德-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内内,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
小蒂姆-哈达威,G,32,5-12,4-9,1-1,0,3,"
3","
4",2,0,2,0,"
15","
-11
"
何塞-巴里亚,G,21,4-10,0-1,3-3,2,3,"
5","
9",0,0,2,0,"
11","
-7
"
多里安-芬尼-史密斯,F,35,4-6,2-4,2-2,3,5,"
8","
3",4,0,1,1,"
12","
-13
"
瑞安-布罗科夫,F,20,3-8,3-7,0-0,0,5,"
5","
0",2,0,1,1,"
9","
-4
"
克里斯塔普斯-波尔津吉斯,C,36,12-20,1-4,10-13,3,9,"
12","
0",3,2,4,1,"
35","
-11
"
德朗-赖特,G,25,4-9,2-3,0-2,0,2,"
2","
3",1,0,3,0,"
10","
-4"
塞思-库里,G,25,6-11,2-6,2-3,0,2,"
2","
4",1,0,1,0,"
16","
+2"
杰伦-布伦森,G,20,3-8,0-1,1-1,1,2,"
3","
3",0,0,1,1,"
7","
+9"
马克西-克勒贝尔,F,14,1-4,0-1,2-2,4,2,"
6","
1",0,0,0,4,"
4","
+3"
威利-考利-斯坦,C,11,1-2,0-0,0-0,1,5,"
6","
2",5,0,1,1,"
2","
+8"
贾斯廷-杰克逊,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-7"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-东契奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
