篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯里-欧文,G,32,19-23,7-9,9-10,0,5,"
5","
5",3,1,4,0,"
54","
+20"
加莱特-坦普尔,G,26,5-10,1-5,0-1,0,2,"
2","
0",3,1,1,0,"
11","
+3"
托里恩-普林斯,F,30,6-12,2-6,2-2,1,7,"
8","
3",4,0,2,0,"
16","
+16"
乔-哈里斯,F,28,2-3,1-2,0-0,0,2,"
2","
4",2,1,1,0,"
5","
+18"
贾勒特-阿伦,C,29,5-5,0-0,2-3,2,3,"
5","
5",2,1,1,2,"
12","
+14"
斯潘塞-丁威迪,G,30,7-14,4-7,2-2,0,1,"
1","
7",3,0,3,1,"
20","
+11"
卡里斯-勒韦尔,G,21,1-5,0-1,1-5,0,0,"
0","
6",1,3,1,1,"
3","
+1"
威尔森-钱德勒,F,20,1-3,0-1,0-0,1,4,"
5","
0",2,1,3,1,"
2","
-3"
德安德烈-乔丹,C,16,3-3,0-0,0-0,1,7,"
8","
0",1,0,3,0,"
6","
+3"
蒂莫泰-卢瓦乌-卡巴罗,G-F,3,1-1,0-0,2-2,0,0,"
0","
0",0,0,0,0,"
4","
-4"
杰雷米亚-马丁,G,2,0-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-2"
罗季翁斯-库鲁茨,F,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,1,0,"
0","
-2"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,36,8-17,1-6,5-6,0,2,"
2","
8",0,1,2,0,"
22","
-19
"
托马什-萨托兰斯基,G,31,4-8,1-3,6-6,1,3,"
4","
8",3,1,4,1,"
15","
-19
"
赛迪斯-杨,F,31,6-11,1-3,1-2,0,2,"
2","
4",1,1,2,0,"
14","
-14
"
克里斯-邓恩,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0
"
卢克-科内特,C,28,7-11,2-4,3-4,2,2,"
4","
2",2,1,0,1,"
19","
-17
"
科比-怀特,G,25,4-10,2-7,1-2,1,2,"
3","
1",3,0,2,1,"
11","
+4"
钱德勒-哈奇森,F-G,22,3-7,0-0,2-2,2,7,"
9","
0",3,2,1,0,"
8","
-18"
克里斯蒂亚诺-费利西奥,F-C,20,1-4,0-1,2-2,4,2,"
6","
0",1,0,2,0,"
4","
+2"
里安-阿尔奇迪亚科诺,G,17,2-3,2-3,0-0,0,2,"
2","
2",3,0,0,0,"
6","
-10"
登泽尔-瓦伦丁,G,16,3-9,1-5,0-0,1,4,"
5","
1",4,0,0,0,"
7","
+5"
沙奎尔-哈里森,G,11,4-6,2-2,2-2,0,1,"
1","
1",1,0,0,0,"
12","
+5"
亚当,G,4,0-0,0-0,0-0,0,0,"
0","
0",0,1,0,0,"
0","
+6"
劳里-马尔卡宁,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
温德尔-卡特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
