奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,36,11-23,2-7,10-15,1,5,"
6","
2",2,3,2,3,"
34","
+7"
以赛亚-托马斯,G,23,5-16,2-8,0-0,0,2,"
2","
3",1,0,2,0,"
12","
+3"
伊萨克-邦加,F,30,3-4,0-0,2-2,5,2,"
7","
3",4,1,1,1,"
8","
-5"
加里-佩顿二世,F,22,2-7,0-2,0-1,2,3,"
5","
3",2,3,0,0,"
4","
+4"
伊安-马辛米,C,22,4-9,0-2,0-0,3,3,"
6","
1",3,1,1,3,"
8","
+3"
戴维斯-贝尔坦斯,F,30,3-7,3-7,2-2,2,5,"
7","
3",2,1,1,1,"
11","
+13"
特洛伊-布朗,F-G,27,4-11,0-3,0-1,0,3,"
3","
2",3,0,0,0,"
8","
+3"
托马斯-布莱恩特,C-F,25,7-11,1-1,2-5,4,6,"
10","
0",2,0,0,1,"
17","
+1"
伊斯梅尔-史密斯,G,25,5-12,1-2,0-0,1,4,"
5","
4",1,0,2,0,"
11","
+1"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安热伊斯-帕塞奇尼克斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加莱特-坦普尔,G,36,6-14,4-10,1-1,1,4,"
5","
1",3,1,1,1,"
17","
-9
"
凯里-欧文,G,29,5-12,1-5,0-0,2,2,"
4","
4",4,1,6,1,"
11","
-5
"
乔-哈里斯,F,30,8-16,6-11,0-0,0,3,"
3","
3",3,0,0,0,"
22","
-11
"
托里恩-普林斯,F,27,1-9,0-8,0-0,0,5,"
5","
2",0,1,2,1,"
2","
-8
"
贾勒特-阿伦,C,27,5-6,0-0,3-7,3,12,"
15","
5",3,0,0,2,"
13","
-10
"
斯潘塞-丁威迪,G,31,9-23,4-10,4-7,1,3,"
4","
6",5,1,5,0,"
26","
+1"
德安德烈-乔丹,C,21,3-4,0-0,2-2,3,8,"
11","
3",3,1,1,2,"
8","
+4"
威尔森-钱德勒,F,19,0-1,0-1,2-2,0,3,"
3","
0",1,0,0,0,"
2","
+4"
卡里斯-勒韦尔,G,19,2-9,1-2,1-2,2,1,"
3","
1",0,0,0,0,"
6","
+4"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒂莫泰-卢瓦乌-卡巴罗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
