快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特里克-贝弗利,G,27,5-10,2-6,0-0,1,4,"
5","
4",2,1,2,1,"
12","
+7"
保罗-乔治,G,25,9-18,3-6,0-0,1,6,"
7","
2",3,2,1,1,"
21","
+12"
科怀-伦纳德,F,24,9-21,4-9,9-10,0,6,"
6","
4",2,0,1,0,"
31","
+9"
莫里斯-哈克利斯,F,16,1-1,0-0,0-0,0,2,"
2","
0",3,0,1,0,"
2","
-9"
伊维察-祖巴茨,C,19,2-4,0-0,2-2,6,4,"
10","
1",5,0,1,2,"
6","
-2"
兰德里-沙梅特,G,33,3-6,2-5,2-3,0,1,"
1","
2",5,1,0,0,"
10","
+18"
路易斯-威廉姆斯,G,29,7-19,0-3,3-3,0,4,"
4","
6",3,1,2,0,"
17","
+19"
蒙特雷兹-哈勒尔,F-C,26,8-13,0-0,0-0,3,3,"
6","
0",3,1,3,1,"
16","
+19"
杰迈克尔-格林,F-C,21,1-4,1-4,0-0,1,4,"
5","
1",2,0,1,2,"
3","
+2"
罗德尼-麦格鲁德,G,12,0-1,0-0,0-0,0,3,"
3","
0",1,2,1,0,"
0","
0"
杰罗姆-罗宾逊,G,2,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-5"
帕特里克-帕特森,F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
特伦斯-曼,G-F,2,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-5"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
沙巴兹-内皮尔,G,35,4-11,1-4,2-2,1,3,"
4","
10",2,2,4,0,"
11","
-9
"
贾勒特-卡尔弗,G,22,2-5,0-3,1-2,1,2,"
3","
1",1,0,1,0,"
5","
+10
"
罗伯特-科温顿,F,35,3-7,1-4,5-6,0,5,"
5","
0",4,3,2,2,"
12","
-10
"
安德鲁-威金斯,F,27,4-11,1-3,4-5,0,5,"
5","
3",3,0,2,0,"
13","
-16
"
卡尔-安东尼-唐斯,C,36,11-22,2-9,8-11,1,11,"
12","
3",1,0,0,1,"
32","
-10
"
约什-奥科吉,G,26,3-9,1-4,6-6,3,3,"
6","
1",5,1,3,0,"
13","
-8"
乔丹-麦克劳克林,G,17,2-6,0-3,0-0,0,2,"
2","
5",0,1,0,0,"
4","
-3"
凯勒-马丁,F,16,1-5,0-4,5-5,0,4,"
4","
0",3,1,3,0,"
7","
-6"
凯塔-贝茨-迪奥普,F,11,1-2,0-1,0-0,0,2,"
2","
1",0,1,0,0,"
2","
-7"
戈尔吉-吉昂,C,9,2-4,1-3,0-0,0,0,"
0","
0",0,0,1,1,"
5","
-7"
乔丹-贝尔,F,4,1-2,0-1,0-0,0,1,"
1","
0",1,0,0,0,"
2","
+1"
纳兹-里德,C-F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
+5"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-克拉布,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
