马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,27,4-8,1-2,0-0,1,9,"
10","
2",3,4,2,0,"
9","
+16"
布林-福布斯,G,16,2-8,2-5,0-0,0,1,"
1","
2",0,0,0,0,"
6","
-3"
德马尔-德罗赞,F,33,10-15,0-0,4-5,0,2,"
2","
6",2,2,2,0,"
24","
+17"
拉马库斯-阿尔德里奇,F,28,4-10,0-1,0-1,2,5,"
7","
2",0,0,0,1,"
8","
0"
特雷-莱尔斯,C,28,4-6,2-3,1-2,1,4,"
5","
0",1,1,1,0,"
11","
+3"
德里克-怀特,G,27,4-8,1-4,3-4,1,4,"
5","
1",2,0,1,0,"
12","
+18"
朗尼-沃克,G-F,19,3-6,0-1,0-0,0,3,"
3","
4",1,1,0,0,"
6","
+18"
帕蒂-米尔斯,G,19,4-11,3-9,0-0,0,1,"
1","
4",2,3,1,0,"
11","
+16"
雅各布-珀尔特尔,C,18,7-8,0-0,3-5,2,5,"
7","
1",3,2,1,1,"
17","
+19"
马科-贝里内利,G,15,0-2,0-2,1-2,0,1,"
1","
3",0,0,0,0,"
1","
+10"
鲁迪-盖伊,F-G,6,2-4,1-1,0-0,0,1,"
1","
0",0,0,2,0,"
5","
-4"
奇梅齐耶-梅图,F-C,2,0-0,0-0,2-2,0,0,"
0","
2",0,0,0,0,"
2","
+5"
凯尔登-约翰逊,F-G,2,1-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
+5"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,37,3-11,2-8,0-0,0,1,"
1","
9",2,2,5,0,"
8","
-9
"
特里-罗齐尔,G,35,3-12,2-7,2-2,1,4,"
5","
3",2,0,3,0,"
10","
-20
"
迈尔斯-布里奇斯,F,37,10-19,4-9,1-2,0,6,"
6","
2",2,0,2,2,"
25","
-16
"
马文-威廉姆斯,F,24,2-5,0-2,0-0,0,4,"
4","
1",1,0,1,2,"
4","
-8
"
科迪-泽勒,C,30,7-10,0-0,0-0,3,9,"
12","
8",2,2,1,1,"
14","
-10
"
马利克-蒙克,G,32,4-12,1-3,2-2,1,3,"
4","
2",2,0,2,2,"
11","
-15"
科迪-马丁,F-G,28,3-7,1-5,1-2,0,3,"
3","
2",3,0,2,0,"
8","
-28"
吉列尔莫-埃尔南戈麦斯,C-F,18,3-7,0-2,4-4,1,1,"
2","
2",4,1,1,0,"
10","
-14"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
俾斯麦-比永博,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷-斯波尔丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-培根,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-华盛顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
