雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,32,5-8,2-3,0-1,2,5,"
7","
4",1,0,1,1,"
12","
+14"
韦斯利-马修斯,G,14,0-3,0-2,2-2,0,1,"
1","
1",4,0,1,0,"
2","
+5"
克里斯-米德尔顿,F,33,9-15,3-5,4-4,1,7,"
8","
6",2,0,2,1,"
25","
+13"
扬尼斯-阿德托昆博,F,31,10-21,1-5,9-16,6,13,"
19","
9",3,1,7,1,"
30","
+3"
布鲁克-洛佩斯,C,33,7-16,1-6,2-2,2,2,"
4","
1",4,0,0,9,"
17","
+6"
唐特-迪温琴佐,G,22,6-12,2-7,1-2,0,2,"
2","
1",3,2,2,0,"
15","
+15"
帕特-康诺顿,G-F,20,3-4,2-3,0-0,2,5,"
7","
3",1,0,0,1,"
8","
+11"
凯尔-科沃尔,G-F,19,3-5,2-4,0-0,0,1,"
1","
2",1,0,2,0,"
8","
+11"
艾森-伊利亚索瓦,F,14,3-9,2-2,0-0,2,2,"
4","
0",4,0,1,0,"
8","
+15"
罗宾-洛佩斯,C,13,0-1,0-0,0-0,1,4,"
5","
3",0,1,0,0,"
0","
+15"
斯特林-布朗,G-F,10,2-3,0-1,0-0,0,2,"
2","
0",2,0,0,0,"
4","
-3"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔治-希尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德拉甘-本德尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,34,9-15,2-5,12-13,0,7,"
7","
6",1,0,5,0,"
32","
-13
"
埃利-奥科博,G,26,1-4,0-1,0-0,0,1,"
1","
4",4,1,2,0,"
2","
-20
"
凯利-乌布雷,F,36,5-20,1-6,4-4,4,6,"
10","
2",5,1,0,0,"
15","
-17
"
米卡尔-布里奇斯,F,31,2-9,0-2,3-4,1,3,"
4","
1",3,2,1,2,"
7","
-2
"
德安德烈-艾顿,C,30,10-27,0-0,0-0,8,6,"
14","
2",4,1,2,1,"
20","
-13
"
杰文-卡特,G,27,6-10,3-5,0-0,0,4,"
4","
2",2,3,0,0,"
15","
-4"
谢赫-迪亚洛,F-C,26,5-9,0-0,1-2,1,6,"
7","
1",3,0,0,0,"
11","
-12"
杰伦-勒丘,G,11,2-3,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
4","
-6"
泰勒-约翰逊,G,10,0-3,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
+2"
塔里克-欧文斯,F,7,1-4,0-1,0-0,2,0,"
2","
0",0,0,0,0,"
2","
-12"
杰里德-哈珀,G,2,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-8"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里基-卢比奥,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡梅伦-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里奥-沙里奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
