快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,31,6-13,1-5,6-7,0,12,"
12","
8",2,0,2,0,"
19","
+21"
帕特里克-贝弗利,G,26,4-8,4-7,0-0,0,4,"
4","
5",2,0,2,0,"
12","
+17"
科怀-伦纳德,F,32,8-17,2-3,4-4,1,5,"
6","
7",2,1,3,2,"
22","
+13"
莫里斯-哈克利斯,F,21,3-4,1-1,0-0,1,3,"
4","
1",2,1,1,0,"
7","
+1"
伊维察-祖巴茨,C,23,3-5,0-0,3-4,2,6,"
8","
0",3,0,1,0,"
9","
+5"
兰德里-沙梅特,G,28,1-3,0-2,0-0,0,1,"
1","
2",1,1,0,0,"
2","
-6"
蒙特雷兹-哈勒尔,F-C,25,7-11,0-0,0-0,0,3,"
3","
1",3,0,2,0,"
14","
-1"
路易斯-威廉姆斯,G,23,3-12,0-1,6-7,0,1,"
1","
4",1,0,1,0,"
12","
-10"
杰迈克尔-格林,F-C,17,3-9,3-7,0-2,1,6,"
7","
0",1,0,0,0,"
9","
-10"
罗德尼-麦格鲁德,G,13,1-2,0-1,0-0,0,5,"
5","
0",1,0,0,0,"
2","
-15"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰罗姆-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,25,1-7,0-1,0-0,1,4,"
5","
0",1,2,1,0,"
2","
-8
"
布林-福布斯,G,23,2-8,2-7,2-2,0,1,"
1","
2",3,0,0,0,"
8","
-5
"
德马尔-德罗赞,F,34,11-23,0-0,4-6,0,5,"
5","
2",2,2,3,0,"
26","
-14
"
拉马库斯-阿尔德里奇,F,34,9-17,2-5,7-7,0,9,"
9","
5",4,0,1,2,"
27","
-2
"
特雷-莱尔斯,C,26,4-8,2-6,0-0,2,3,"
5","
0",3,0,0,1,"
10","
0
"
帕蒂-米尔斯,G,25,6-13,6-13,0-0,0,2,"
2","
2",2,1,0,0,"
18","
+3"
德里克-怀特,G,23,2-7,0-3,0-0,0,8,"
8","
6",1,0,0,2,"
4","
+5"
朗尼-沃克,G-F,21,1-4,0-0,0-0,0,2,"
2","
0",1,0,0,1,"
2","
+3"
鲁迪-盖伊,F-G,15,2-5,0-2,0-0,0,3,"
3","
2",2,0,0,0,"
4","
+2"
雅各布-珀尔特尔,C,14,2-3,0-0,0-1,3,3,"
6","
2",1,0,1,3,"
4","
+1"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
