灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
狄龙-布鲁克斯,G,30,7-15,1-3,0-0,1,3,"
4","
5",4,0,1,1,"
15","
+17"
贾-莫兰特,G,27,5-9,0-1,2-2,0,4,"
4","
7",2,0,6,0,"
12","
+8"
小贾伦-杰克逊,F,30,3-10,0-2,8-9,1,4,"
5","
2",3,1,0,3,"
14","
+6"
杰-克劳德,F,25,2-5,0-3,0-0,0,5,"
5","
3",0,0,0,0,"
4","
+20"
约纳斯-瓦兰丘纳斯,C,30,13-19,0-2,0-1,3,14,"
17","
2",2,0,0,4,"
26","
+28"
布兰登-克拉克,F-G,23,2-7,0-1,0-0,1,4,"
5","
0",1,1,1,1,"
4","
+1"
泰厄斯-琼斯,G,21,6-11,1-3,0-0,1,1,"
2","
5",0,1,0,0,"
13","
+6"
凯尔-安德森,F-G,15,1-1,0-0,0-0,0,2,"
2","
0",1,1,0,2,"
2","
-6"
丹东尼-梅尔顿,G,14,1-6,0-0,0-0,0,0,"
0","
1",1,1,1,0,"
2","
-6"
所罗门-希尔,F,14,0-1,0-0,0-0,0,1,"
1","
2",3,0,0,0,"
0","
-7"
约什-杰克逊,F-G,12,2-6,0-2,0-0,0,2,"
2","
0",1,1,2,1,"
4","
+3"
马尔科-古杜里奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷森-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布鲁斯-布朗,G,38,4-12,0-2,4-4,2,5,"
7","
4",4,1,3,0,"
12","
-17
"
雷吉-杰克逊,G,24,1-16,1-6,0-0,2,5,"
7","
4",0,0,1,0,"
3","
-6
"
托尼-斯内尔,F,29,1-7,0-4,0-0,0,0,"
0","
4",0,1,1,0,"
2","
-7
"
塞古-敦布亚,F,26,2-15,2-5,0-0,4,3,"
7","
1",1,2,3,0,"
6","
-21
"
安德烈-德拉蒙德,C,36,12-22,0-0,1-3,5,13,"
18","
4",1,0,2,0,"
25","
-18
"
兰斯顿-加洛韦,G,37,7-12,3-5,0-0,1,1,"
2","
3",3,0,2,0,"
17","
-1"
克里斯蒂安-伍德,F,34,7-11,2-3,1-2,2,3,"
5","
1",3,2,2,2,"
17","
0"
索恩-梅克,F-C,15,0-3,0-1,0-0,0,5,"
5","
0",1,0,0,0,"
0","
0"
蒂姆-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯维亚托斯拉夫-米哈伊柳克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-罗斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基夫-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
