老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰夫-蒂格,G,36,7-14,0-0,4-4,0,1,"
1","
6",0,4,2,0,"
18","
-10"
特雷-杨,G,35,10-20,4-11,10-11,0,3,"
3","
7",2,2,9,0,"
34","
-13"
凯文-赫尔特,F,39,9-21,5-11,0-0,0,3,"
3","
2",5,0,0,1,"
23","
-9"
约翰-科林斯,F,38,10-12,2-2,0-0,3,8,"
11","
3",4,1,2,2,"
22","
-7"
达米安-琼斯,C,17,1-1,0-0,2-2,0,2,"
2","
1",2,0,1,0,"
4","
-8"
埃文-特纳,G-F,21,1-4,0-0,0-0,1,1,"
2","
2",2,1,1,0,"
2","
+4"
文斯-卡特,G-F,18,2-7,0-4,0-0,1,1,"
2","
0",1,0,0,3,"
4","
+1"
特雷韦恩-格雷厄姆,G-F,18,1-4,1-2,3-4,1,2,"
3","
0",2,0,1,0,"
6","
-6"
布兰登-古德温,G,17,1-1,0-0,0-0,0,5,"
5","
1",1,1,1,0,"
2","
+8"
卡姆-雷迪什,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-亨特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-莱恩,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-费尔南多,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰伦-布朗,G,33,9-17,1-3,2-2,1,4,"
5","
0",4,1,2,0,"
21","
+12
"
哈维特-格林,G,18,0-2,0-2,0-0,0,3,"
3","
1",1,2,2,0,"
0","
-7
"
杰森-塔特姆,F,35,10-20,5-9,3-3,0,7,"
7","
3",0,1,1,0,"
28","
+19
"
戈登-海沃德,F,34,9-16,3-6,3-4,1,6,"
7","
6",1,0,3,1,"
24","
+5
"
丹尼尔-泰斯,C,19,3-4,1-1,2-2,1,1,"
2","
1",2,0,0,0,"
9","
+13
"
布拉德-沃纳梅克,G,27,5-9,2-3,4-4,0,3,"
3","
5",3,4,2,0,"
16","
+15"
格兰特-威廉姆斯,F,24,6-9,0-2,1-1,3,3,"
6","
2",4,1,2,2,"
13","
+1"
埃内斯-坎特,C,16,4-7,0-0,0-1,5,4,"
9","
1",0,0,0,0,"
8","
+1"
特里蒙特-沃特斯,G,14,1-2,0-1,0-0,0,1,"
1","
2",4,1,3,0,"
2","
-4"
谢米-奥杰莱,F,12,0-3,0-2,0-0,0,1,"
1","
0",1,0,0,1,"
0","
-11"
卡森-爱德华兹,G,7,1-1,0-0,0-0,0,0,"
0","
0",2,0,0,1,"
2","
-4"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马库斯-斯马特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯巴-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
