黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,36,6-13,3-9,0-0,0,1,"
1","
5",4,1,3,0,"
15","
-3"
特里-罗齐尔,G,35,7-14,2-8,2-3,0,3,"
3","
2",1,0,1,0,"
18","
-11"
迈尔斯-布里奇斯,F,35,5-15,2-7,4-4,5,3,"
8","
2",3,1,0,1,"
16","
-11"
德维恩-培根,F,18,0-4,0-1,0-0,0,5,"
5","
2",2,1,3,0,"
0","
-14"
科迪-泽勒,C,27,8-13,0-0,1-2,2,5,"
7","
2",3,1,0,0,"
17","
-13"
科迪-马丁,F-G,28,6-6,1-1,0-1,4,4,"
8","
3",2,3,0,0,"
13","
+1"
马利克-蒙克,G,22,4-12,1-3,2-2,2,3,"
5","
4",0,1,1,0,"
11","
-7"
吉列尔莫-埃尔南戈麦斯,C-F,21,4-10,0-1,0-2,2,5,"
7","
2",1,0,4,0,"
8","
+1"
马文-威廉姆斯,F,18,1-2,0-1,0-0,0,2,"
2","
2",0,0,0,1,"
2","
-3"
杰伦-麦克丹尼尔斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
俾斯麦-比永博,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷-斯波尔丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-华盛顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-基德-吉尔克里斯特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马克尔-富尔茨,G,35,4-6,1-2,3-4,0,1,"
1","
14",3,2,2,0,"
12","
+9
"
埃文-富尼耶,G,31,7-14,3-6,0-0,0,3,"
3","
1",1,0,3,0,"
17","
+23
"
阿龙-戈登,F,38,6-12,2-5,2-6,2,10,"
12","
5",2,2,1,0,"
16","
+13
"
韦斯利-艾旺杜,F,22,3-8,1-4,2-2,0,2,"
2","
2",1,1,0,0,"
9","
+2
"
尼古拉-武切维奇,C,36,10-19,1-5,1-2,3,4,"
7","
5",1,0,1,0,"
22","
+11
"
特伦斯-罗斯,G-F,31,4-8,4-7,1-2,0,5,"
5","
2",0,1,1,0,"
13","
+12"
迈克尔-卡特-威廉姆斯,G,22,3-4,1-1,1-1,0,0,"
0","
5",1,1,0,0,"
8","
-3"
穆罕默德-班巴,C,12,5-6,2-2,0-0,3,4,"
7","
1",3,0,1,2,"
12","
+1"
加里-克拉克,F,10,1-2,1-2,0-0,0,0,"
0","
0",0,0,0,1,"
3","
-1"
BJ-约翰逊,F,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-7"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-奥古斯丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克-劳,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
