森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,36,9-20,3-8,4-6,1,6,"
7","
3",2,2,4,1,"
25","
-7"
贾勒特-卡尔弗,G,30,3-9,0-3,1-3,0,1,"
1","
3",1,1,1,1,"
7","
-4"
约什-奥科吉,F,37,8-11,0-3,7-8,0,0,"
0","
1",3,3,2,1,"
23","
+1"
凯勒-马丁,F,22,3-7,1-3,2-2,0,4,"
4","
0",2,2,1,1,"
9","
-10"
卡尔-安东尼-唐斯,C,38,7-15,2-6,5-6,3,8,"
11","
1",3,2,4,1,"
21","
-4"
乔丹-麦克劳克林,G,31,7-15,1-6,0-0,0,1,"
1","
7",1,3,0,0,"
15","
+4"
纳兹-里德,C-F,13,4-6,2-3,0-0,0,2,"
2","
0",5,0,1,2,"
10","
+5"
阿伦-克拉布,G-F,13,1-2,0-1,0-0,0,1,"
1","
0",1,0,1,0,"
2","
-11"
杰伦-诺埃尔,G,10,1-3,0-1,2-2,0,2,"
2","
2",3,0,0,0,"
4","
-6"
戈尔吉-吉昂,C,10,2-3,0-1,0-1,2,2,"
4","
1",0,0,2,0,"
4","
-3"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,37,10-23,6-13,12-13,0,4,"
4","
11",3,1,3,0,"
38","
+6
"
凯文-赫尔特,G,37,5-10,1-4,0-0,0,4,"
4","
3",1,0,0,0,"
11","
-1
"
约翰-科林斯,F,41,11-19,2-5,3-4,3,9,"
12","
2",3,0,3,1,"
27","
-3
"
德安德烈-亨特,F,30,4-7,2-3,2-2,1,4,"
5","
2",3,1,4,1,"
12","
+8
"
达米安-琼斯,C,24,6-7,0-0,2-2,2,6,"
8","
2",4,2,2,1,"
14","
+7
"
布兰登-古德温,G,20,3-8,1-4,2-2,1,7,"
8","
0",1,0,1,0,"
9","
-5"
杰夫-蒂格,G,19,1-3,0-0,7-7,0,0,"
0","
2",4,1,2,1,"
9","
-1"
文斯-卡特,G-F,16,1-2,1-2,0-0,0,0,"
0","
0",1,1,2,0,"
3","
+10"
特雷韦恩-格雷厄姆,G-F,8,0-1,0-1,0-0,0,3,"
3","
1",2,0,1,0,"
0","
+6"
布鲁诺-费尔南多,F-C,7,2-2,0-0,0-0,0,0,"
0","
0",0,1,1,0,"
4","
+8"
钱德勒-帕森斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷迪什,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-莱恩,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
