猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,38,12-21,3-6,5-5,3,5,"
8","
10",3,2,3,0,"
32","
+13"
弗雷德-范弗利特,G,37,4-10,2-5,0-0,0,3,"
3","
7",3,3,1,0,"
10","
-4"
帕斯卡尔-西亚卡姆,F,40,7-18,1-4,10-11,1,8,"
9","
5",2,3,1,0,"
25","
+14"
OG-阿奴诺比,F,28,0-1,0-1,0-0,1,2,"
3","
0",1,1,1,0,"
0","
-2"
赛尔吉-伊巴卡,C,34,13-21,2-7,2-2,1,6,"
7","
3",5,1,3,0,"
30","
-8"
特伦斯-戴维斯,G,27,4-9,3-7,0-0,0,3,"
3","
1",2,1,0,0,"
11","
+11"
帕特里克-麦考,G-F,16,1-2,1-1,1-2,0,0,"
0","
1",0,0,0,0,"
4","
+2"
朗戴-霍利斯-杰弗森,F,13,0-1,0-0,0-0,0,2,"
2","
0",1,1,1,0,"
0","
-18"
克里斯-布歇,F-C,8,2-3,0-1,3-4,1,1,"
2","
0",0,0,0,0,"
7","
-3"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,34,10-14,4-7,0-0,2,4,"
6","
6",2,0,6,0,"
24","
-7
"
维克托-奥拉迪波,G,25,5-14,2-6,1-2,1,1,"
2","
2",0,1,2,0,"
13","
-10
"
多曼塔斯-萨博尼斯,F,38,4-7,1-2,6-8,0,11,"
11","
10",3,0,5,0,"
15","
-1
"
杰里米-兰姆,F,25,2-9,1-3,0-0,0,1,"
1","
1",1,1,1,0,"
5","
-10
"
迈尔斯-特纳,C,24,3-6,0-1,0-0,2,5,"
7","
1",2,1,2,2,"
6","
-12
"
贾斯廷-霍勒迪,F-G,31,7-12,6-9,2-2,2,3,"
5","
3",3,3,0,1,"
22","
+9"
道格-麦克德莫特,F,23,6-10,4-7,3-3,0,4,"
4","
0",2,0,0,0,"
19","
+21"
阿龙-霍勒迪,G,21,2-6,1-4,0-0,0,2,"
2","
2",2,0,0,1,"
5","
-4"
TJ-麦康奈尔,G,17,4-4,0-0,1-1,1,3,"
4","
4",1,0,2,1,"
9","
+14"
戈加-比塔泽,C-F,3,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-5"
TJ-沃伦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
