开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,37,9-20,3-9,5-5,0,2,"
2","
10",1,0,7,0,"
26","
-9"
CJ-麦科勒姆,G,30,8-19,2-6,1-2,1,2,"
3","
6",5,0,1,1,"
19","
+12"
特雷沃-阿里扎,F,37,2-8,1-4,2-2,1,5,"
6","
1",3,0,2,0,"
7","
+2"
卡梅罗-安东尼,F,35,8-15,4-7,0-0,0,8,"
8","
4",2,0,0,0,"
20","
+20"
哈桑-怀特塞德,C,36,8-10,0-0,1-3,6,17,"
23","
1",3,1,2,4,"
17","
+2"
小加里-特伦特,G-F,24,6-7,6-7,0-0,0,0,"
0","
4",1,0,0,1,"
18","
+6"
安芬尼-西蒙斯,G,15,4-7,2-4,0-0,1,0,"
1","
1",1,0,0,0,"
10","
+13"
马里奥-海佐尼亚,F-G,13,1-2,0-0,0-0,0,3,"
3","
0",1,1,0,0,"
2","
-12"
凯莱布-斯瓦尼根,F,12,3-4,0-0,0-0,0,4,"
4","
1",2,0,0,0,"
6","
+6"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,25,1-7,0-2,2-2,0,4,"
4","
5",1,1,0,0,"
4","
-5
"
布林-福布斯,G,22,3-6,2-3,3-3,0,0,"
0","
1",3,0,2,0,"
11","
-1
"
德马尔-德罗赞,F,37,6-16,0-0,9-9,0,7,"
7","
6",0,3,1,0,"
21","
-2
"
拉马库斯-阿尔德里奇,F,36,9-23,2-6,0-0,4,4,"
8","
4",0,2,1,1,"
20","
-2
"
特雷-莱尔斯,C,34,9-11,4-6,1-1,1,9,"
10","
0",4,2,0,0,"
23","
+5
"
德里克-怀特,G,23,4-8,0-1,7-7,1,0,"
1","
3",1,0,0,1,"
15","
-3"
帕蒂-米尔斯,G,21,5-10,2-6,2-3,1,1,"
2","
2",0,0,0,0,"
14","
-6"
鲁迪-盖伊,F-G,14,2-4,0-1,0-0,0,1,"
1","
1",0,1,0,0,"
4","
-13"
朗尼-沃克,G-F,13,1-3,0-1,0-0,0,1,"
1","
0",0,0,0,1,"
2","
-9"
雅各布-珀尔特尔,C,12,1-2,0-0,1-3,1,3,"
4","
2",1,0,0,0,"
3","
-6"
马科-贝里内利,G,3,0-2,0-2,0-0,0,1,"
1","
1",0,0,0,0,"
0","
+2"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
