奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,39,11-28,3-10,4-5,0,5,"
5","
8",2,1,4,0,"
29","
0"
伊斯梅尔-史密斯,G,30,6-11,2-2,0-0,2,4,"
6","
6",1,1,2,1,"
14","
-11"
八村垒,F,29,7-12,2-4,1-2,1,5,"
6","
1",0,2,2,0,"
17","
-7"
伊萨克-邦加,F,24,1-4,1-2,0-0,0,0,"
0","
1",4,1,1,1,"
3","
-1"
伊安-马辛米,C,18,2-3,0-0,2-2,2,1,"
3","
1",2,0,2,1,"
6","
-9"
戴维斯-贝尔坦斯,F,31,6-12,5-9,3-4,0,8,"
8","
3",4,0,0,0,"
20","
+13"
特洛伊-布朗,F-G,28,4-5,2-3,0-0,0,4,"
4","
4",2,1,0,0,"
10","
+3"
沙巴兹-内皮尔,G,18,5-10,4-6,0-0,2,1,"
3","
3",2,2,2,1,"
14","
+12"
莫里茨-瓦格纳,F-C,18,3-5,0-2,0-0,1,3,"
4","
1",2,1,0,0,"
6","
+5"
加里森-马修斯,G,5,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-佩顿二世,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安热伊斯-帕塞奇尼克斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰罗姆-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马斯-布莱恩特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
小蒂姆-哈达威,G,35,6-14,2-6,5-6,2,2,"
4","
7",2,2,2,0,"
19","
+9
"
杰伦-布伦森,G,31,6-10,1-2,2-2,0,4,"
4","
4",1,0,2,0,"
15","
+6
"
多里安-芬尼-史密斯,F,35,5-10,2-6,0-0,2,4,"
6","
2",4,0,1,0,"
12","
+4
"
考特尼-李,F,17,4-6,3-5,0-0,1,1,"
2","
0",3,0,0,0,"
11","
+1
"
克里斯塔普斯-波尔津吉斯,C,21,3-9,2-6,3-4,1,8,"
9","
2",5,2,3,1,"
11","
-3
"
塞思-库里,G,29,6-18,4-9,4-4,2,1,"
3","
3",3,2,3,0,"
20","
-4"
马克西-克勒贝尔,F,26,3-4,1-1,0-0,3,4,"
7","
2",3,0,0,1,"
7","
-6"
德朗-赖特,G,19,4-7,0-0,2-3,2,2,"
4","
6",0,0,1,0,"
10","
-3"
贾斯廷-杰克逊,F,12,2-6,1-3,2-2,1,2,"
3","
0",0,0,1,0,"
7","
-10"
威利-考利-斯坦,C,9,3-5,0-0,0-0,0,5,"
5","
1",0,1,0,0,"
6","
+2"
瑞安-布罗科夫,G-F,5,0-2,0-2,0-0,1,1,"
2","
0",0,0,0,0,"
0","
-1"
卢卡-东契奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
