步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,36,5-15,0-4,6-7,1,5,"
6","
8",1,0,3,1,"
16","
-13"
维克托-奥拉迪波,G,27,5-11,2-6,3-4,1,0,"
1","
4",2,2,4,0,"
15","
-4"
多曼塔斯-萨博尼斯,F,39,8-13,0-1,3-4,4,12,"
16","
3",2,0,6,0,"
19","
-3"
杰里米-兰姆,F,26,4-8,2-3,1-2,0,3,"
3","
1",4,0,0,0,"
11","
-4"
迈尔斯-特纳,C,29,2-8,1-4,3-3,1,7,"
8","
1",2,0,3,1,"
8","
-7"
贾斯廷-霍勒迪,F-G,26,5-7,2-4,0-0,1,3,"
4","
1",3,0,0,3,"
12","
0"
TJ-麦康奈尔,G,21,5-8,0-1,2-2,2,4,"
6","
7",1,2,2,0,"
12","
+3"
道格-麦克德莫特,F,20,3-8,2-7,0-0,0,1,"
1","
0",2,0,0,0,"
8","
-2"
阿龙-霍勒迪,G,12,1-6,1-3,0-0,0,1,"
1","
1",1,0,2,0,"
3","
-8"
戈加-比塔泽,C-F,2,1-2,0-1,0-0,1,0,"
1","
0",0,1,0,0,"
2","
-7"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-沃伦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,41,6-14,3-7,5-5,0,3,"
3","
7",1,2,3,0,"
20","
+9
"
凯尔-洛瑞,G,28,6-11,3-7,1-1,1,0,"
1","
11",2,1,2,0,"
16","
+5
"
帕斯卡尔-西亚卡姆,F,35,6-20,1-5,2-2,0,4,"
4","
0",1,0,3,1,"
15","
+7
"
OG-阿奴诺比,F,28,5-8,3-5,3-4,1,2,"
3","
0",6,5,1,0,"
16","
+9
"
赛尔吉-伊巴卡,C,40,9-17,3-5,1-2,3,7,"
10","
3",3,0,4,0,"
22","
+10
"
特伦斯-戴维斯,G,25,7-11,3-6,0-1,1,7,"
8","
2",4,2,1,1,"
17","
+7"
帕特里克-麦考,G-F,22,0-1,0-1,0-0,2,1,"
3","
1",0,0,1,0,"
0","
+3"
朗戴-霍利斯-杰弗森,F,13,2-2,0-0,2-2,0,5,"
5","
3",2,1,1,1,"
6","
-5"
克里斯-布歇,F-C,8,1-4,1-2,0-0,0,2,"
2","
1",3,1,0,0,"
3","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
