爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,6-16,1-5,3-4,0,6,"
6","
7",1,2,4,0,"
16","
-5"
迈克-康利,G,31,6-13,2-6,4-4,1,2,"
3","
4",1,2,1,0,"
18","
-3"
博扬-波格丹诺维奇,F,34,10-16,2-6,5-7,0,4,"
4","
1",2,2,1,0,"
27","
-8"
乔-英格尔斯,F,33,5-10,3-5,1-1,1,5,"
6","
3",3,0,3,1,"
14","
-3"
鲁迪-戈贝尔,C,35,7-9,0-0,2-6,5,9,"
14","
2",3,0,3,1,"
16","
-5"
罗伊斯-奥尼尔,F,30,1-3,1-2,0-0,1,9,"
10","
2",2,0,2,0,"
3","
+5"
乔丹-克拉克森,G,20,6-13,1-4,0-0,0,2,"
2","
1",3,0,1,0,"
13","
+17"
托尼-布拉德利,C-F,11,3-6,0-0,0-0,3,2,"
5","
1",1,0,0,0,"
6","
+8"
乔治-尼昂,F,8,0-2,0-2,2-2,0,3,"
3","
0",1,0,0,0,"
2","
+9"
朱万-摩根,F,2,1-3,0-0,0-0,2,1,"
3","
0",2,0,0,0,"
2","
0"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷琼-塔克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊曼纽尔-穆迪埃,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,43,16-30,8-14,2-3,1,5,"
6","
6",2,1,4,2,"
42","
+6
"
CJ-麦科勒姆,G,43,10-23,5-10,2-4,0,5,"
5","
3",4,1,2,0,"
27","
-1
"
卡梅罗-安东尼,F,39,2-10,0-2,1-1,2,6,"
8","
0",2,0,2,0,"
5","
+5
"
特雷沃-阿里扎,F,9,1-3,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-2
"
凯莱布-斯瓦尼根,C,28,2-6,0-1,0-1,2,9,"
11","
2",4,0,1,1,"
4","
+1
"
小加里-特伦特,G-F,38,6-13,2-8,2-2,2,2,"
4","
1",2,4,0,0,"
16","
-16"
马里奥-海佐尼亚,F-G,27,4-8,2-5,1-2,2,4,"
6","
1",4,3,0,1,"
11","
-3"
韦尼恩-加布里埃尔,F,9,1-1,0-0,0-0,1,1,"
2","
0",0,0,0,0,"
2","
-7"
安芬尼-西蒙斯,G,4,2-3,0-0,1-1,0,1,"
1","
1",0,0,0,0,"
5","
+2"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈桑-怀特塞德,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
