勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯-鲍曼,G,29,1-6,0-2,5-6,2,0,"
2","
11",3,0,4,1,"
7","
-3"
达米恩-李,G,22,3-8,2-6,0-0,1,2,"
3","
2",2,3,2,0,"
8","
-5"
安德鲁-威金斯,F,31,8-12,3-4,5-9,1,1,"
2","
3",3,5,4,1,"
24","
-2"
埃里克-帕斯卡尔,F,28,3-11,0-2,0-0,0,4,"
4","
2",5,1,2,1,"
6","
-3"
马基斯-克里斯,C,27,12-15,1-2,1-1,2,7,"
9","
1",3,1,0,2,"
26","
-7"
乔丹-普尔,G,23,8-12,3-7,0-0,1,1,"
2","
3",2,1,1,0,"
19","
+3"
胡安-托斯卡诺-安德森,F,19,2-6,1-1,0-0,0,3,"
3","
2",0,0,1,0,"
5","
-4"
小扎克-诺维尔,G-F,17,2-4,2-3,1-1,0,4,"
4","
2",1,2,1,0,"
7","
+10"
凯文-卢尼,F,14,1-4,0-2,0-1,0,1,"
1","
0",5,0,1,0,"
2","
-1"
杰里米-帕戈,G,14,3-6,0-1,0-1,1,1,"
2","
4",2,1,1,0,"
6","
-3"
阿伦-斯马伊拉吉奇,F,14,3-5,1-2,3-4,0,1,"
1","
1",1,1,1,1,"
10","
-10"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-帕戈,NA,,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,30,7-11,5-7,2-2,1,3,"
4","
2",2,2,1,0,"
21","
+7
"
丹尼-格林,G,29,3-6,2-3,2-2,1,1,"
2","
1",2,0,1,0,"
10","
+7
"
安东尼-戴维斯,F,35,9-14,0-0,9-13,2,8,"
10","
4",2,3,2,1,"
27","
+4
"
勒布朗-詹姆斯,F,34,7-17,3-8,5-6,0,8,"
8","
11",2,1,7,0,"
22","
+6
"
贾维尔-麦基,C,21,2-4,0-0,0-0,1,4,"
5","
0",4,1,3,1,"
4","
0
"
凯尔-库兹马,F,29,4-8,0-0,4-4,1,1,"
2","
6",2,3,5,0,"
12","
-3"
拉简-隆多,G,21,4-8,3-5,0-0,0,4,"
4","
4",1,0,4,0,"
11","
+1"
特洛伊-丹尼尔斯,G,17,1-3,1-3,1-2,1,0,"
1","
0",2,0,0,0,"
4","
-5"
德怀特-霍华德,C,13,5-7,0-0,2-5,4,4,"
8","
0",3,0,1,0,"
12","
+7"
亚历克斯-卡鲁索,G,7,0-2,0-2,0-0,1,2,"
3","
0",1,1,0,0,"
0","
-4"
肯塔维厄斯-考德威尔-波普,G,4,1-2,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
2","
+5"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
