国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,26,5-9,0-1,3-4,1,1,"
2","
5",3,0,2,0,"
13","
-12"
波格丹-波格丹诺维奇,G,24,2-9,1-5,0-0,2,0,"
2","
1",1,1,1,0,"
5","
-17"
哈里森-巴恩斯,F,38,9-13,2-3,5-5,0,7,"
7","
4",1,0,1,0,"
25","
+15"
内马尼亚-别利察,F,32,6-10,3-4,0-0,1,5,"
6","
4",4,2,2,1,"
15","
+7"
哈里-贾尔斯,C,27,3-8,0-0,2-3,2,10,"
12","
1",2,0,1,0,"
8","
-1"
巴迪-希尔德,G,32,11-17,9-10,0-0,1,5,"
6","
5",1,2,2,0,"
31","
+33"
肯特-贝兹莫尔,G-F,27,5-12,3-7,2-6,0,3,"
3","
2",2,1,0,0,"
15","
+34"
科里-约瑟夫,G,24,2-4,0-2,0-0,1,0,"
1","
3",1,0,1,0,"
4","
+35"
约吉-费雷尔,G,7,1-3,1-3,1-2,0,0,"
0","
0",0,0,0,1,"
4","
+6"
达全-杰弗里斯,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,1,1-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
2","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-莱恩,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,28,6-11,2-3,3-4,3,6,"
9","
9",3,3,0,0,"
17","
+10
"
布林-福布斯,G,28,6-11,4-9,0-0,0,1,"
1","
4",1,2,0,0,"
16","
+9
"
拉马库斯-阿尔德里奇,F,34,5-10,0-2,2-4,1,9,"
10","
0",2,1,4,3,"
12","
-5
"
德马尔-德罗赞,F,30,5-10,0-0,4-5,0,3,"
3","
6",5,0,3,0,"
14","
+9
"
特雷-莱尔斯,C,18,2-5,0-1,1-1,0,3,"
3","
0",3,0,0,0,"
5","
+6
"
德里克-怀特,G,25,6-13,1-4,0-0,1,0,"
1","
3",2,0,1,0,"
13","
-28"
鲁迪-盖伊,F-G,22,2-4,0-1,1-1,0,7,"
7","
0",1,0,2,0,"
5","
-26"
朗尼-沃克,G-F,20,3-8,0-3,2-3,0,1,"
1","
1",1,1,2,0,"
8","
-28"
帕蒂-米尔斯,G,17,1-2,0-1,0-0,1,0,"
1","
0",2,0,0,0,"
2","
-26"
雅各布-珀尔特尔,C,12,4-5,0-0,0-0,2,2,"
4","
0",2,0,1,1,"
8","
-15"
奎因达里-韦瑟斯庞,G,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
德鲁-尤班克斯,F-C,4,1-1,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
2","
-3"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
