活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布鲁斯-布朗,G,35,3-8,1-3,4-4,0,3,"
3","
1",2,1,1,2,"
11","
-6"
雷吉-杰克逊,G,31,7-17,3-7,3-4,1,1,"
2","
9",3,1,2,0,"
20","
+5"
克里斯蒂安-伍德,F,37,6-13,3-7,2-4,1,10,"
11","
2",3,1,3,2,"
17","
-5"
托尼-斯内尔,F,34,5-8,2-3,0-0,0,0,"
0","
3",4,0,3,0,"
12","
+7"
索恩-梅克,C,29,3-5,1-1,0-2,0,3,"
3","
2",2,0,2,3,"
7","
-2"
兰斯顿-加洛韦,G,31,2-6,2-4,0-0,1,1,"
2","
0",3,0,1,0,"
6","
-8"
约翰-亨森,F-C,18,6-6,0-0,0-0,0,4,"
4","
1",1,1,1,0,"
12","
+1"
塞古-敦布亚,F,13,1-3,1-2,2-2,0,3,"
3","
0",1,1,3,0,"
5","
0"
乔丹-博恩,G,12,1-3,0-2,0-0,0,0,"
0","
3",0,0,0,0,"
2","
-7"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-罗斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基夫-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯维亚托斯拉夫-米哈伊柳克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-奈特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃尔弗里德-佩顿,G,30,4-11,0-1,2-4,2,7,"
9","
6",1,2,2,1,"
10","
+3
"
RJ-巴雷特,G,21,1-8,0-2,1-2,0,2,"
2","
2",3,0,1,0,"
3","
-15
"
朱利叶斯-兰德尔,F,34,7-17,1-3,2-3,3,4,"
7","
3",2,1,4,1,"
17","
-1
"
雷吉-布洛克,F,27,2-5,2-4,2-2,0,4,"
4","
5",1,1,0,0,"
8","
+7
"
泰-吉布森,C,13,5-7,0-0,1-2,3,1,"
4","
0",4,0,2,0,"
11","
-3
"
韦恩-艾灵顿,G,27,6-12,3-7,2-2,2,3,"
5","
3",1,0,0,0,"
17","
+7"
米切尔-罗宾逊,C-F,19,3-4,0-0,1-2,3,2,"
5","
0",4,1,2,3,"
7","
+12"
丹尼斯-史密斯,G,18,2-6,0-0,0-0,1,3,"
4","
1",1,0,2,0,"
4","
0"
博比-波蒂斯,F,18,5-10,1-2,0-0,1,3,"
4","
3",1,0,2,0,"
11","
0"
凯文-诺克斯,F,18,2-4,1-3,0-0,0,1,"
1","
0",2,0,0,1,"
5","
+2"
弗朗克-尼利基纳,G,14,1-1,0-0,0-0,1,1,"
2","
1",1,0,0,0,"
2","
+3"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里斯-哈克利斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹伊恩-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
