猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,33,11-20,4-9,3-3,0,2,"
2","
6",4,0,3,0,"
29","
-1"
特伦斯-戴维斯,G,30,7-15,5-8,1-1,5,3,"
8","
1",4,1,2,0,"
20","
-8"
帕斯卡尔-西亚卡姆,F,34,9-22,0-5,2-4,0,7,"
7","
4",1,0,0,1,"
20","
-8"
OG-阿奴诺比,F,29,2-4,0-1,1-2,0,4,"
4","
1",1,2,0,0,"
5","
-5"
赛尔吉-伊巴卡,C,32,5-9,1-3,1-2,1,5,"
6","
2",1,0,0,1,"
12","
-4"
马特-托马斯,G,22,6-9,3-4,0-0,0,6,"
6","
1",2,3,0,0,"
15","
+4"
帕特里克-麦考,G-F,19,1-3,1-1,0-0,0,2,"
2","
3",2,0,0,0,"
3","
+6"
朗戴-霍利斯-杰弗森,F,17,2-6,0-0,1-2,4,3,"
7","
3",1,0,0,0,"
5","
+6"
克里斯-布歇,F-C,16,2-5,0-2,5-5,2,3,"
5","
0",5,0,2,3,"
9","
+5"
奥谢-布里塞特,F-G,8,0-2,0-2,1-2,1,0,"
1","
1",1,0,0,0,"
1","
+10"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,36,8-17,2-6,3-4,1,5,"
6","
11",2,1,0,0,"
21","
-3
"
卡里斯-勒韦尔,G,33,12-18,6-7,7-7,1,2,"
3","
4",1,1,1,0,"
37","
-1
"
乔-哈里斯,F,33,5-9,1-4,0-0,3,4,"
7","
2",2,0,0,0,"
11","
+1
"
托里恩-普林斯,F,27,6-16,4-10,1-2,1,1,"
2","
2",1,1,2,1,"
17","
-4
"
贾勒特-阿伦,C,19,1-2,0-0,1-2,3,3,"
6","
0",2,1,1,0,"
3","
-8
"
德安德烈-乔丹,C,29,6-10,0-0,3-4,3,11,"
14","
1",1,0,3,3,"
15","
+7"
威尔森-钱德勒,F,24,1-7,1-7,3-3,0,2,"
2","
3",4,1,1,0,"
6","
-1"
加莱特-坦普尔,G-F,23,1-5,1-4,2-2,0,2,"
2","
4",1,0,0,1,"
5","
+6"
蒂莫泰-卢瓦乌-卡巴罗,G-F,15,1-8,1-6,0-0,1,3,"
4","
0",2,0,1,0,"
3","
-2"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
