开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,39,5-15,3-9,0-1,0,4,"
4","
3",4,0,3,0,"
13","
+11"
达米安-利拉德,G,38,11-23,6-15,5-6,1,3,"
4","
8",2,1,3,1,"
33","
+11"
特雷沃-阿里扎,F,39,7-10,2-4,5-5,0,4,"
4","
5",2,3,0,1,"
21","
+7"
卡梅罗-安东尼,F,33,6-14,3-6,0-1,0,6,"
6","
2",3,0,4,0,"
15","
+15"
哈桑-怀特塞德,C,35,3-8,0-0,5-8,3,14,"
17","
0",1,1,2,4,"
11","
+13"
小加里-特伦特,G-F,33,8-11,5-7,1-1,1,3,"
4","
0",4,4,0,0,"
22","
-7"
凯莱布-斯瓦尼根,F,10,0-0,0-0,0-0,0,2,"
2","
1",4,0,1,0,"
0","
-5"
韦尼恩-加布里埃尔,F,7,0-2,0-1,0-0,0,2,"
2","
0",1,0,1,0,"
0","
-8"
马里奥-海佐尼亚,F-G,5,0-2,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
0","
-7"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安芬尼-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,38,6-15,6-15,1-1,0,6,"
6","
3",4,1,1,0,"
19","
-7
"
肯德里克-纳恩,G,27,4-18,1-6,0-0,0,0,"
0","
4",1,0,1,0,"
9","
-16
"
巴姆-阿德巴约,F,35,6-14,0-0,1-2,5,7,"
12","
7",4,0,3,3,"
13","
-8
"
小德里克-琼斯,F,25,4-8,2-3,1-1,1,2,"
3","
0",0,0,0,0,"
11","
-16
"
凯利-奥利尼克,C,13,2-4,1-3,1-1,0,3,"
3","
2",4,1,2,0,"
6","
-15
"
杰-克劳德,F,35,6-11,5-8,1-2,1,10,"
11","
3",1,2,1,1,"
18","
+9"
戈兰-德拉季奇,G,31,8-20,5-13,6-7,1,3,"
4","
7",2,1,2,0,"
27","
+12"
安德烈-伊格达拉,F-G,23,1-2,0-1,0-0,3,3,"
6","
3",3,1,2,1,"
2","
+10"
克里斯-席尔瓦,F,13,2-6,0-0,0-0,2,2,"
4","
2",3,0,1,0,"
4","
+1"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-希罗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
所罗门-希尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉米-巴特勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
