老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,48,13-30,6-13,16-16,0,1,"
1","
13",1,2,7,0,"
48","
+10"
凯文-赫尔特,G,48,6-13,2-6,2-2,1,2,"
3","
6",4,0,2,1,"
16","
+6"
约翰-科林斯,F,50,12-19,1-3,7-9,5,11,"
16","
3",2,0,0,1,"
32","
+9"
德安德烈-亨特,F,48,7-15,3-7,2-3,1,8,"
9","
1",4,5,0,0,"
19","
+1"
达米安-琼斯,C,15,0-0,0-0,0-0,1,3,"
4","
0",1,0,0,1,"
0","
+2"
德维恩-戴德蒙,C,33,4-12,1-5,1-1,0,8,"
8","
0",6,0,4,5,"
10","
-4"
杰夫-蒂格,G,27,4-8,0-0,0-0,0,3,"
3","
6",1,1,0,0,"
8","
+1"
布鲁诺-费尔南多,F-C,9,1-3,0-1,0-0,2,2,"
4","
0",4,0,1,0,"
2","
+5"
特雷韦恩-格雷厄姆,G-F,7,0-3,0-2,0-0,1,0,"
1","
0",0,1,0,0,"
0","
-1"
布兰登-古德温,G,4,1-3,1-2,0-0,0,0,"
0","
0",0,0,0,0,"
3","
-3"
文斯-卡特,G-F,3,1-2,0-1,0-0,0,1,"
1","
0",1,0,0,0,"
2","
-1"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷迪什,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克林特-卡佩拉,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃尔弗里德-佩顿,G,37,5-14,0-2,2-2,1,3,"
4","
9",6,2,4,1,"
12","
-4
"
RJ-巴雷特,G,22,2-6,0-0,1-2,1,3,"
4","
3",4,1,0,0,"
5","
-3
"
朱利叶斯-兰德尔,F,46,13-25,0-2,9-12,2,16,"
18","
3",3,1,6,1,"
35","
+7
"
雷吉-布洛克,F,37,8-18,5-10,0-0,0,4,"
4","
1",3,1,1,0,"
21","
-2
"
泰-吉布森,C,16,2-3,0-0,0-0,1,3,"
4","
1",0,0,1,0,"
4","
-17
"
米切尔-罗宾逊,C-F,35,7-8,0-0,1-3,7,4,"
11","
0",3,3,0,3,"
15","
+5"
韦恩-艾灵顿,G,32,5-10,5-9,0-0,0,1,"
1","
1",2,2,1,0,"
15","
0"
弗朗克-尼利基纳,G,26,3-8,0-4,3-4,0,2,"
2","
8",4,2,1,0,"
9","
+10"
博比-波蒂斯,F,19,5-11,2-4,2-2,2,4,"
6","
2",1,0,1,0,"
14","
-5"
凯文-诺克斯,F,13,1-5,1-3,0-0,1,0,"
1","
0",3,0,2,1,"
3","
-9"
丹尼斯-史密斯,G,8,1-2,0-0,0-0,0,1,"
1","
2",0,0,0,0,"
2","
-7"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里斯-哈克利斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹伊恩-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
