雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,33,8-15,1-5,5-6,0,5,"
5","
5",1,2,3,0,"
22","
-3"
吕冈茨-多尔特,G,12,1-4,1-2,0-0,0,1,"
1","
0",4,0,0,0,"
3","
-2"
谢伊-吉尔杰斯-亚历山大,F,33,8-12,3-4,5-7,0,6,"
6","
4",1,0,1,0,"
24","
+2"
达尼罗-加里纳利,F,31,8-14,3-6,5-6,2,3,"
5","
1",2,0,2,0,"
24","
+6"
史蒂文-亚当斯,C,30,2-10,0-1,0-0,5,6,"
11","
2",3,0,2,1,"
4","
+8"
丹尼斯-施罗德,G,36,8-21,3-7,3-3,1,6,"
7","
1",3,1,1,1,"
22","
+7"
特伦斯-弗格森,G,26,0-1,0-1,0-0,1,1,"
2","
1",4,0,0,0,"
0","
-2"
纳伦斯-诺埃尔,C-F,18,2-4,0-0,1-3,3,2,"
5","
0",3,0,0,1,"
5","
-9"
哈米杜-迪亚洛,G,12,1-2,0-1,0-0,0,1,"
1","
0",0,0,1,0,"
2","
-11"
阿卜杜勒-纳迪尔,F,5,0-1,0-0,2-2,0,1,"
1","
0",0,0,0,0,"
2","
-4"
达里厄斯-贝兹利,F-G,3,1-2,0-0,1-2,0,0,"
0","
0",0,0,0,0,"
3","
+3"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
戈登-海沃德,G,35,5-10,2-4,1-2,3,7,"
10","
4",1,0,1,1,"
13","
+5
"
肯巴-沃克,G,30,6-16,4-9,11-13,1,3,"
4","
1",2,0,1,0,"
27","
0
"
杰森-塔特姆,F,35,10-19,4-7,2-4,3,8,"
11","
1",3,0,4,1,"
26","
0
"
杰伦-布朗,F,34,7-17,3-7,0-0,0,3,"
3","
2",2,0,1,0,"
17","
+6
"
丹尼尔-泰斯,C,30,5-11,1-4,2-4,5,6,"
11","
5",4,0,0,0,"
13","
+3
"
马库斯-斯马特,G,22,2-5,1-3,2-2,0,0,"
0","
2",3,4,2,0,"
7","
+4"
埃内斯-坎特,C,17,1-3,0-1,2-2,1,7,"
8","
0",1,1,0,0,"
4","
-1"
布拉德-沃纳梅克,G,17,1-2,0-0,0-0,0,4,"
4","
4",3,1,0,0,"
2","
+2"
格兰特-威廉姆斯,F,14,1-1,1-1,0-0,1,1,"
2","
0",2,0,0,0,"
3","
-6"
罗密欧-兰福德,G-F,5,0-0,0-0,0-0,0,0,"
0","
0",3,0,0,0,"
0","
-8"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢米-奥杰莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
