骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达里厄斯-加兰,G,28,3-11,0-4,0-0,0,0,"
0","
6",2,1,2,0,"
6","
-23"
科林-塞克斯顿,G,28,4-13,1-4,4-4,1,1,"
2","
3",4,1,2,0,"
13","
-28"
凯文-乐福,F,26,3-8,2-7,2-2,1,8,"
9","
2",2,1,1,0,"
10","
-25"
切迪-奥斯曼,F,25,3-8,0-3,1-2,1,3,"
4","
1",2,1,2,0,"
7","
-20"
安德烈-德拉蒙德,C,29,7-17,2-3,3-7,7,7,"
14","
3",1,2,4,1,"
19","
-22"
小凯文-波特,G-F,28,8-14,1-3,0-1,2,2,"
4","
3",2,1,0,0,"
17","
-24"
阿方索-麦金尼,F,21,4-9,0-3,1-2,1,0,"
1","
0",2,1,1,0,"
9","
-13"
小拉里-南斯,F-C,20,1-6,0-3,0-0,1,3,"
4","
0",0,0,2,0,"
2","
-21"
特里斯坦-汤普森,C-F,19,2-6,1-2,2-2,2,4,"
6","
2",1,0,1,0,"
7","
-19"
丹特-埃克萨姆,G,8,0-1,0-0,0-0,0,0,"
0","
2",1,1,0,0,"
0","
-4"
马利克-纽曼,G,4,0-2,0-1,2-2,0,0,"
0","
0",0,0,1,0,"
2","
-3"
迪恩-韦德,F-C,4,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-3"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马修-戴拉维多瓦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
JP-马楚拉,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
兰德里-沙梅特,G,27,4-9,3-7,0-0,0,4,"
4","
3",3,0,0,1,"
11","
+29
"
路易斯-威廉姆斯,G,26,8-14,1-3,8-10,0,5,"
5","
3",0,2,2,0,"
25","
+28
"
保罗-乔治,F,24,8-12,5-8,1-1,0,6,"
6","
4",2,1,3,1,"
22","
+20
"
马库斯-莫里斯,F,22,5-12,0-4,0-0,0,4,"
4","
2",2,3,1,0,"
10","
+15
"
伊维察-祖巴茨,C,17,4-4,0-0,0-0,0,4,"
4","
4",4,1,0,2,"
8","
+14
"
阿米尔-科菲,G-F,25,5-7,0-2,0-1,0,4,"
4","
1",2,1,2,1,"
10","
+16"
杰迈克尔-格林,F-C,24,2-7,1-5,1-2,4,3,"
7","
3",2,0,0,0,"
6","
+28"
罗德尼-麦格鲁德,G,22,4-6,0-1,0-0,2,2,"
4","
4",1,1,0,0,"
8","
+20"
蒙特雷兹-哈勒尔,F-C,20,8-10,0-0,3-4,3,6,"
9","
3",1,0,1,1,"
19","
+22"
特伦斯-曼,G-F,12,0-2,0-0,0-0,0,2,"
2","
1",1,1,0,0,"
0","
+7"
乔纳森-莫特利,F,11,3-4,0-0,0-0,1,1,"
2","
0",0,0,1,0,"
6","
+5"
菲翁杜-卡本盖莱,F-C,10,2-6,2-6,2-2,0,1,"
1","
0",3,1,1,0,"
8","
+1"
以赛亚-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
