猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,40,9-16,4-7,5-6,1,6,"
7","
11",4,1,8,2,"
27","
+11"
弗雷德-范弗利特,G,37,5-13,2-7,4-4,0,2,"
2","
7",2,3,4,0,"
16","
+21"
帕斯卡尔-西亚卡姆,F,37,14-21,6-8,0-1,1,5,"
6","
5",5,2,3,1,"
34","
+12"
OG-阿奴诺比,F,36,10-13,3-4,2-2,5,7,"
12","
3",0,3,1,1,"
25","
+10"
朗戴-霍利斯-杰弗森,C,34,8-13,0-2,5-8,1,5,"
6","
1",5,3,0,0,"
21","
+20"
帕特里克-麦考,G-F,26,1-2,1-2,2-2,1,3,"
4","
2",4,3,0,0,"
5","
+5"
特伦斯-戴维斯,G,15,1-5,1-2,0-0,0,2,"
2","
0",3,0,1,0,"
3","
-13"
克里斯-布歇,F-C,13,3-5,0-1,0-0,0,2,"
2","
0",3,0,1,0,"
6","
-6"
马特-托马斯,G,3,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,32,7-12,4-5,4-4,0,0,"
0","
5",1,1,6,0,"
22","
-22
"
马利克-比斯利,G,32,5-12,2-6,3-4,0,4,"
4","
2",3,1,4,0,"
15","
-5
"
胡安-埃尔南戈麦斯,F,26,6-11,2-4,1-2,2,3,"
5","
1",2,0,1,0,"
15","
-5
"
约什-奥科吉,F,23,3-6,0-3,3-3,0,3,"
3","
1",2,0,1,0,"
9","
-16
"
卡尔-安东尼-唐斯,C,37,5-13,3-6,10-12,4,6,"
10","
7",4,1,5,1,"
23","
-7
"
詹姆斯-约翰逊,F,28,2-5,2-3,2-2,1,6,"
7","
3",3,0,3,0,"
8","
-6"
贾勒特-卡尔弗,G-F,21,5-11,2-4,3-4,2,1,"
3","
0",1,1,1,1,"
15","
+3"
阿伦-克拉布,G-F,16,3-8,2-6,0-0,0,3,"
3","
0",1,0,0,0,"
8","
-6"
乔丹-麦克劳克林,G,16,1-3,0-2,1-1,0,0,"
0","
5",1,2,1,1,"
3","
+11"
纳兹-里德,C-F,10,2-5,1-1,3-3,1,2,"
3","
0",1,0,1,1,"
8","
-2"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
