太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,37,8-22,2-8,9-9,0,5,"
5","
8",0,2,5,1,"
27","
+17"
里基-卢比奥,G,24,4-8,1-1,0-0,2,3,"
5","
9",4,2,5,0,"
9","
-2"
凯利-乌布雷,F,32,5-16,3-10,2-2,0,6,"
6","
0",4,0,0,0,"
15","
-14"
米卡尔-布里奇斯,F,32,6-12,2-4,0-0,0,2,"
2","
1",3,3,1,1,"
14","
0"
谢赫-迪亚洛,C,22,5-6,0-0,0-0,1,7,"
8","
0",2,2,0,0,"
10","
-13"
乔纳-博尔登,F,26,2-6,0-1,2-2,3,4,"
7","
0",4,1,0,2,"
6","
+17"
埃利-奥科博,G-F,22,5-9,1-4,1-2,0,2,"
2","
3",1,0,2,0,"
12","
+12"
杰文-卡特,G,19,3-4,2-2,0-0,2,0,"
2","
2",0,1,0,0,"
8","
+3"
卡梅伦-约翰逊,F,18,3-6,3-6,0-0,0,2,"
2","
1",2,2,1,0,"
9","
+18"
泰-杰罗姆,G-F,8,1-2,0-1,0-0,0,1,"
1","
1",1,1,0,0,"
2","
-8"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里奥-沙里奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
乔丹-普尔,G,32,4-12,2-7,2-2,0,3,"
3","
3",1,1,2,0,"
12","
0
"
达米恩-李,G,32,4-10,2-8,0-0,0,5,"
5","
3",2,3,1,0,"
10","
-5
"
安德鲁-威金斯,F,34,9-14,3-4,6-6,0,4,"
4","
5",0,2,2,4,"
27","
+9
"
德雷蒙德-格林,F,30,2-5,1-2,1-1,0,6,"
6","
9",2,1,5,0,"
6","
+2
"
马基斯-克里斯,C,31,7-11,0-1,4-6,2,10,"
12","
3",3,0,3,3,"
18","
+2
"
埃里克-帕斯卡尔,F,27,5-8,0-2,2-2,2,4,"
6","
2",1,0,3,0,"
12","
-7"
杰里米-帕戈,G,21,6-11,3-5,0-0,0,1,"
1","
2",5,0,2,0,"
15","
+5"
胡安-托斯卡诺-安德森,F,14,2-3,0-0,0-0,0,1,"
1","
0",1,1,0,0,"
4","
-10"
小扎克-诺维尔,G-F,8,0-1,0-1,0-0,0,0,"
0","
0",2,0,1,0,"
0","
-14"
阿伦-斯马伊拉吉奇,F,7,0-1,0-0,2-2,0,0,"
0","
0",1,0,2,0,"
2","
-3"
凯-鲍曼,G,4,0-1,0-1,0-0,0,0,"
0","
0",2,0,1,0,"
0","
-9"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
