尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃尔弗里德-佩顿,G,31,6-10,1-2,6-9,0,4,"
4","
8",0,5,2,0,"
19","
-13"
RJ-巴雷特,G,29,5-16,0-4,6-6,0,5,"
5","
0",3,0,2,0,"
16","
-9"
朱利叶斯-兰德尔,F,38,9-18,1-3,2-3,4,9,"
13","
1",2,0,4,1,"
21","
-15"
雷吉-布洛克,F,24,2-12,1-5,0-0,1,1,"
2","
0",3,1,2,0,"
5","
-18"
泰-吉布森,C,10,1-1,0-0,0-0,1,2,"
3","
0",2,0,1,1,"
2","
-9"
莫里斯-哈克利斯,F-G,25,2-7,0-3,0-0,1,4,"
5","
2",2,1,0,0,"
4","
-2"
米切尔-罗宾逊,C-F,18,5-6,0-0,1-4,5,3,"
8","
1",5,0,0,1,"
11","
-9"
博比-波蒂斯,F,15,2-6,0-2,3-4,0,7,"
7","
2",4,1,3,0,"
7","
+4"
韦恩-艾灵顿,G,15,1-4,0-2,3-3,0,0,"
0","
1",0,0,0,0,"
5","
-7"
弗朗克-尼利基纳,G,11,0-2,0-1,0-0,1,0,"
1","
3",1,1,2,0,"
0","
-3"
凯文-诺克斯,F,10,1-1,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
2","
-3"
丹伊恩-多特森,G,6,0-1,0-1,0-0,0,0,"
0","
1",1,0,0,0,"
0","
-4"
丹尼斯-史密斯,G,6,2-4,0-0,0-0,1,3,"
4","
0",2,1,4,0,"
4","
-2"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,34,11-23,2-7,6-7,0,2,"
2","
3",1,2,4,1,"
30","
+16
"
伊斯梅尔-史密斯,G,29,4-9,0-3,0-0,1,3,"
4","
3",0,1,1,1,"
8","
+9
"
八村垒,F,23,3-7,0-1,2-3,1,4,"
5","
1",3,0,1,0,"
8","
+14
"
伊萨克-邦加,F,14,5-7,3-3,0-0,1,4,"
5","
3",2,2,1,2,"
13","
+7
"
伊安-马辛米,C,30,3-7,0-0,3-4,2,8,"
10","
1",5,1,0,1,"
9","
+9
"
戴维斯-贝尔坦斯,F,30,4-9,2-6,6-7,0,2,"
2","
2",1,2,2,1,"
16","
+13"
杰罗姆-罗宾逊,G,21,2-6,1-2,0-0,0,2,"
2","
2",1,1,1,0,"
5","
+9"
特洛伊-布朗,F-G,20,3-7,1-3,4-6,1,2,"
3","
6",1,2,1,0,"
11","
-3"
沙巴兹-内皮尔,G,19,2-3,0-1,1-2,0,3,"
3","
4",1,1,1,0,"
5","
+9"
莫里茨-瓦格纳,F-C,17,2-5,0-1,2-4,0,4,"
4","
0",5,1,1,1,"
6","
+8"
加里-佩顿二世,G,2,1-1,1-1,0-0,0,0,"
0","
0",1,0,0,0,"
3","
-1"
乔纳森-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安热伊斯-帕塞奇尼克斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马斯-布莱恩特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
