森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,38,11-25,5-14,1-1,2,4,"
6","
3",1,0,2,0,"
28","
+1"
丹吉洛-拉塞尔,G,35,9-23,4-12,4-4,1,5,"
6","
11",4,2,3,1,"
26","
+12"
胡安-埃尔南戈麦斯,F,38,5-18,1-7,5-7,4,8,"
12","
0",1,1,0,1,"
16","
0"
约什-奥科吉,F,30,4-10,1-3,0-0,3,3,"
6","
4",2,2,0,0,"
9","
-9"
詹姆斯-约翰逊,C,32,2-8,1-4,0-2,2,3,"
5","
5",4,3,3,3,"
5","
-5"
纳兹-里德,C-F,22,4-7,0-2,4-4,1,5,"
6","
0",5,1,0,1,"
12","
0"
贾勒特-卡尔弗,G-F,16,2-3,0-1,0-0,0,2,"
2","
0",1,0,2,0,"
4","
+2"
乔丹-麦克劳克林,G,14,2-4,2-3,0-0,0,2,"
2","
2",0,1,1,1,"
6","
-17"
阿伦-克拉布,G-F,11,0-2,0-2,0-0,1,1,"
2","
0",1,0,0,0,"
0","
-8"
贾里德-范德比尔特,F,4,0-1,0-1,2-2,0,1,"
1","
0",0,0,0,0,"
2","
-11"
杰克-莱曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯勒-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,35,9-20,5-11,5-7,0,4,"
4","
8",1,0,4,0,"
28","
-5
"
凯莱布-马丁,G,25,3-7,1-2,1-2,0,3,"
3","
1",5,1,0,0,"
8","
+6
"
迈尔斯-布里奇斯,F,35,6-16,3-8,5-6,0,3,"
3","
2",3,1,1,1,"
20","
+14
"
PJ-华盛顿,F,31,1-8,0-3,0-0,1,8,"
9","
3",3,1,3,0,"
2","
+6
"
俾斯麦-比永博,C,26,6-8,0-0,2-4,7,3,"
10","
2",0,0,1,1,"
14","
-5
"
马利克-蒙克,G,32,10-20,3-7,2-2,0,4,"
4","
3",1,1,3,2,"
25","
+10"
杰伦-麦克丹尼尔斯,F-C,23,4-4,2-2,0-0,1,5,"
6","
1",2,2,0,0,"
10","
-14"
吉列尔莫-埃尔南戈麦斯,C-F,19,4-6,0-1,0-2,2,5,"
7","
1",1,1,0,0,"
8","
+11"
德维恩-培根,G-F,15,0-3,0-0,0-0,1,5,"
6","
1",0,0,1,0,"
0","
+12"
特里-罗齐尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷-斯波尔丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-马丁,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-泽勒,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
