凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,46,10-20,5-14,6-8,0,4,"
4","
3",4,4,3,0,"
31","
+7"
肯巴-沃克,G,46,5-17,4-10,5-6,0,9,"
9","
7",0,0,1,0,"
19","
+22"
杰森-塔特姆,F,48,14-23,5-10,6-10,0,9,"
9","
1",4,1,4,1,"
39","
+4"
戈登-海沃德,F,48,6-21,3-8,6-6,3,10,"
13","
4",2,1,0,1,"
21","
+18"
丹尼尔-泰斯,C,24,5-9,0-0,2-2,3,2,"
5","
0",6,1,2,2,"
12","
+7"
布拉德-沃纳梅克,G,26,2-6,1-1,4-4,0,1,"
1","
3",4,1,1,0,"
9","
-12"
埃内斯-坎特,C,20,3-6,0-0,2-2,1,7,"
8","
2",3,0,2,1,"
8","
-3"
谢米-奥杰莱,F,17,0-0,0-0,2-2,0,1,"
1","
1",0,0,0,0,"
2","
-3"
格兰特-威廉姆斯,F,16,0-1,0-0,0-0,0,1,"
1","
1",5,1,1,1,"
0","
+1"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
兰德里-沙梅特,G,48,5-11,4-8,5-5,0,2,"
2","
0",5,0,3,0,"
19","
-2
"
科怀-伦纳德,G,46,10-27,1-6,7-7,2,9,"
11","
4",4,1,3,1,"
28","
-8
"
马库斯-莫里斯,F,42,4-8,2-6,0-0,1,7,"
8","
2",5,0,2,2,"
10","
-2
"
保罗-乔治,F,15,2-7,0-2,0-0,0,1,"
1","
1",2,0,1,1,"
4","
-7
"
伊维察-祖巴茨,C,14,2-3,0-0,3-3,1,3,"
4","
1",2,0,1,1,"
7","
-13
"
蒙特雷兹-哈勒尔,F-C,44,7-12,0-0,10-14,6,7,"
13","
3",4,2,2,3,"
24","
+4"
路易斯-威廉姆斯,G,44,14-33,3-9,4-6,1,5,"
6","
8",4,1,3,2,"
35","
-5"
杰迈克尔-格林,F-C,19,1-5,0-2,0-0,2,6,"
8","
0",3,0,0,0,"
2","
-5"
阿米尔-科菲,G-F,13,0-2,0-1,0-0,0,1,"
1","
0",1,0,0,0,"
0","
+1"
罗德尼-麦格鲁德,G,6,1-1,1-1,0-0,0,0,"
0","
0",1,0,0,0,"
3","
-5"
特伦斯-曼,G-F,0,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
乔纳森-莫特利,F,0,0-0,0-0,1-2,1,0,"
1","
0",0,0,0,0,"
1","
+1"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
